last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Márquez, Germán,608566,2020,344,246,0.247,0.259,-0.01200000000000001,0.373,0.391,-0.018000000000000016,0.292,0.315,-0.02300000000000002,3.75,4.21,-0.463
Lynn, Lance,458681,2020,344,224,0.206,0.208,-0.0020000000000000018,0.386,0.35,0.03600000000000003,0.287,0.279,0.007999999999999952,3.32,3.25,0.071
Hendricks, Kyle,543294,2020,315,242,0.24,0.237,0.0030000000000000027,0.372,0.383,-0.01100000000000001,0.269,0.274,-0.0050000000000000044,2.88,3.13,-0.253
Civale, Aaron,650644,2020,312,224,0.282,0.266,0.01599999999999996,0.474,0.436,0.03799999999999998,0.339,0.323,0.016000000000000014,4.74,4.45,0.293
Freeland, Kyle,607536,2020,304,232,0.278,0.284,-0.00599999999999995,0.433,0.436,-0.0030000000000000027,0.335,0.344,-0.008999999999999952,4.33,5.13,-0.8
Senzatela, Antonio,622608,2020,303,240,0.254,0.273,-0.019000000000000017,0.409,0.429,-0.020000000000000018,0.309,0.33,-0.02100000000000002,3.44,4.67,-1.234
Gibson, Kyle,502043,2020,301,207,0.275,0.284,-0.008999999999999952,0.46,0.452,0.008000000000000007,0.356,0.36,-0.0040000000000000036,5.35,5.70,-0.353
Darvish, Yu,506433,2020,297,187,0.211,0.228,-0.017000000000000015,0.321,0.346,-0.024999999999999967,0.25,0.269,-0.019000000000000017,2.01,3.02,-1.007
Bieber, Shane,669456,2020,297,153,0.167,0.186,-0.01899999999999999,0.265,0.32,-0.05499999999999999,0.222,0.251,-0.028999999999999998,1.63,2.62,-0.991
Scherzer, Max,453286,2020,295,179,0.26,0.252,0.008000000000000007,0.424,0.432,-0.008000000000000007,0.319,0.321,-0.0020000000000000018,3.74,4.39,-0.647
Corbin, Patrick,571578,2020,295,217,0.308,0.289,0.019000000000000017,0.489,0.47,0.019000000000000017,0.357,0.344,0.013000000000000012,4.66,5.13,-0.47
Woodruff, Brandon,605540,2020,293,180,0.204,0.199,0.004999999999999977,0.341,0.34,0.0010000000000000009,0.264,0.264,0,3.05,2.90,0.154
Castillo, Luis,622491,2020,292,178,0.233,0.21,0.02300000000000002,0.365,0.314,0.05099999999999999,0.29,0.266,0.023999999999999966,3.21,2.95,0.264
Gallen, Zac,668678,2020,291,181,0.21,0.226,-0.016000000000000014,0.336,0.369,-0.032999999999999974,0.275,0.296,-0.020999999999999963,2.75,3.68,-0.93
Nola, Aaron,605400,2020,289,168,0.205,0.223,-0.018000000000000016,0.354,0.355,-0.0010000000000000009,0.272,0.284,-0.011999999999999955,3.28,3.37,-0.09
Wheeler, Zack,554430,2020,288,212,0.254,0.25,0.0040000000000000036,0.348,0.349,-0.0010000000000000009,0.291,0.293,-0.0020000000000000018,2.92,3.60,-0.685
Cole, Gerrit,543037,2020,288,175,0.197,0.198,-0.0010000000000000009,0.405,0.381,0.02400000000000002,0.279,0.274,0.0050000000000000044,2.84,3.13,-0.294
Valdez, Framber,664285,2020,288,191,0.24,0.239,0.0010000000000000009,0.342,0.379,-0.03699999999999998,0.279,0.302,-0.022999999999999965,3.57,3.84,-0.274
Giolito, Lucas,608337,2020,288,161,0.184,0.196,-0.01200000000000001,0.31,0.323,-0.013000000000000012,0.257,0.27,-0.013000000000000012,3.48,3.04,0.444
Carrasco, Carlos,471911,2020,280,169,0.221,0.222,-0.0010000000000000009,0.361,0.368,-0.007000000000000006,0.292,0.3,-0.008000000000000007,2.91,3.79,-0.878
Heaney, Andrew,571760,2020,279,188,0.246,0.25,-0.0040000000000000036,0.414,0.445,-0.031000000000000028,0.306,0.322,-0.016000000000000014,4.46,4.42,0.035
Bauer, Trevor,545333,2020,278,158,0.159,0.163,-0.0040000000000000036,0.302,0.287,0.015000000000000013,0.227,0.225,0.0020000000000000018,1.73,2.11,-0.384
Cueto, Johnny,456501,2020,277,192,0.248,0.261,-0.013000000000000012,0.423,0.417,0.006000000000000005,0.324,0.336,-0.01200000000000001,5.40,4.86,0.54
Gonzales, Marco,594835,2020,277,202,0.222,0.243,-0.02099999999999999,0.361,0.43,-0.069,0.265,0.301,-0.035999999999999976,3.10,3.82,-0.72
Davies, Zach,605200,2020,276,194,0.216,0.269,-0.05300000000000002,0.361,0.476,-0.11499999999999999,0.273,0.344,-0.07099999999999995,2.73,5.13,-2.404
