last_name, first_name,player_id,year,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Porcello, Rick,519144,2017,650,14.4,36.5,114.3,88.2,92.6,84.7,465,186,398,231,35.7,52,8,5.9
Richard, Clayton,453385,2017,640,1.8,29.1,116,87.4,93,84.3,438,132,404,212,33.3,28,4.4,3.3
Davies, Zach,605200,2017,629,7.4,34,111.1,86.2,91.7,82.5,427,151,400,195,31.1,25,4,3.1
Pérez, Martín,527048,2017,627,9.8,35.7,115.2,87.1,91.6,84.5,470,161,407,203,32.4,34,5.4,4.2
Santana, Ervin,429722,2017,627,16.1,29.8,110.9,86,91.5,82.1,444,181,399,189,30.1,37,5.9,4.3
Nova, Iván,467100,2017,611,9.2,34,112.4,89.4,93.6,86.1,453,175,400,217,36.8,40,6.5,5.1
Leake, Mike,502190,2017,606,6.1,30.9,114,87.6,93.7,83.5,441,151,412,215,36.4,31,5.1,4
Samardzija, Jeff,502188,2017,604,12.4,36.1,118.4,87.4,92,83.4,471,176,401,204,33.8,38,6.3,4.5
Dickey, R.A.,285079,2017,602,10.1,30.9,115.5,86.2,90.8,83.7,446,161,400,180,30.8,26,4.3,3.2
Hammel, Jason,434628,2017,602,16.2,35.5,114.5,88.2,91.6,85.6,450,196,408,203,33.9,43,7.1,5.3
Stroman, Marcus,573186,2017,602,0.6,24.3,118.3,88.7,93.3,86.8,496,121,409,231,38.6,30,5,3.6
Cole, Gerrit,543037,2017,594,11.1,34,111.7,86.3,91.6,83,451,167,403,203,34.4,45,7.6,5.3
Corbin, Patrick,571578,2017,584,7.8,30.1,113.7,87.9,92.5,85.5,440,153,403,207,35.6,39,6.7,4.7
Nolasco, Ricky,445060,2017,582,14.6,36.6,114,90,93.4,87.3,450,187,404,233,40,49,8.4,6.2
Teheran, Julio,527054,2017,582,13.9,30.6,111.5,87.2,91.8,83.6,433,182,397,177,30.5,37,6.4,4.6
Blach, Ty,621389,2017,575,9.9,32.7,111.7,86.9,91.4,83.9,456,161,402,189,33,21,3.7,3
Moore, Matt,519043,2017,568,15.7,36.4,110.9,89.6,93.5,86.9,457,190,404,229,40.3,51,9,6.5
Cobb, Alex,502171,2017,564,9.3,31.6,117.2,88.2,92.2,85.7,441,164,401,198,35.1,34,6,4.6
Martinez, Carlos,593372,2017,561,8.1,30.5,113.7,87,92,83.8,478,152,391,186,33.3,27,4.8,3.1
Gausman, Kevin,592332,2017,561,11.8,37.8,119.4,87.7,92,84.2,450,175,405,188,33.7,46,8.2,5.6
Vargas, Jason,450306,2017,559,14.9,33.8,111,87.1,92,83.2,445,185,407,182,32.7,31,5.5,4.1
Zimmermann, Jordan,519455,2017,559,17.2,37.4,112.4,89.3,92.8,86.1,445,200,400,197,35.4,43,7.7,6
Estrada, Marco,462136,2017,556,21.8,30.8,113.6,87,92.3,82.8,457,196,401,168,30.2,39,7,4.8
Verlander, Justin,434378,2017,554,16.4,37.4,113.6,87.6,92.6,82.9,459,195,397,197,35.6,40,7.2,4.7
González, Gio,461829,2017,553,11.7,29.5,117.3,86.1,91.6,82.2,476,164,411,154,27.9,27,4.9,3.3
Cashner, Andrew,488768,2017,545,10.6,32.1,117.7,87.1,91.4,84.6,437,158,401,176,32.3,21,3.9,3
Hellickson, Jeremy,476451,2017,544,17.8,35.3,112.5,87.8,92.1,83.8,433,199,392,187,34.7,35,6.4,5
Greinke, Zack,425844,2017,541,10.2,31.6,114.8,87.4,93.8,82.4,453,171,404,166,30.9,40,7.4,5
Roark, Tanner,543699,2017,540,10,34.8,113.9,86.9,90.8,84.1,433,163,401,179,33.1,29,5.4,3.7
Archer, Chris,502042,2017,538,12.7,34.8,116,89.6,92.8,87.1,446,183,393,215,40.2,32,5.9,3.8
Lynn, Lance,458681,2017,535,12.2,32.3,117.6,86.6,91.5,83.2,442,173,397,147,27.5,31,5.8,4
Straily, Dan,573185,2017,534,18.5,32.4,113.9,87.2,92.3,82.7,449,189,399,155,29.2,37,6.9,4.8
Ureña, José,570632,2017,533,13,34.3,111.8,86.4,91.1,82.5,445,176,398,164,30.9,46,8.6,6.4
deGrom, Jacob,594798,2017,527,10.8,32.1,113.6,86.3,90.8,83.4,449,163,399,152,28.8,31,5.9,3.7
Chacín, Jhoulys,468504,2017,526,9.8,29.1,112.8,86.3,91.2,83,438,159,399,149,28.4,30,5.7,3.9
Perdomo, Luis,606131,2017,525,1.1,26.5,112.8,88,93,85.6,461,132,423,190,36.4,26,5,3.6
Colon, Bartolo,112526,2017,523,13.1,33.8,114.7,88.8,93.4,85.1,439,178,400,195,37.4,38,7.3,5.9
González, Miguel,456068,2017,523,17.4,34.4,116,88.3,92.1,85,439,198,400,187,35.9,35,6.7,5.1
Lester, Jon,452657,2017,519,10.3,34.1,111.1,86.4,90.7,83.1,454,174,396,153,29.5,28,5.4,3.7
Lackey, John,407793,2017,517,14.3,34.8,114,88.2,92.2,84.7,469,184,401,186,36.2,35,6.8,4.8
Carrasco, Carlos,471911,2017,516,9.6,34.1,115.6,87.4,92.9,83.5,443,168,402,177,34.6,38,7.4,4.8
Fulmer, Michael,605242,2017,514,9.4,32.5,115.8,86.1,91.9,82.3,444,157,401,150,29.4,25,4.9,3.7
Quintana, José,500779,2017,512,11.8,36.3,113.8,87.5,92.6,83.6,444,181,396,182,35.5,30,5.9,3.8
Freeland, Kyle,607536,2017,510,4.7,29,114.8,86.1,93.1,82.1,449,150,406,170,33.6,22,4.3,3.2
Tanaka, Masahiro,547888,2017,509,8.8,34.6,110.3,88,93.8,84.1,453,171,405,184,36.2,44,8.6,5.9
Gibson, Kyle,502043,2017,506,6.7,33.6,115.4,88.5,92,86.3,457,158,401,192,37.9,35,6.9,5.1
Márquez, Germán,608566,2017,496,9.1,31.3,113.2,88.7,92.5,86,462,173,410,178,36,35,7.1,5
Severino, Luis,622663,2017,495,8,29.7,111.4,87.2,92.7,83.7,429,151,387,166,33.5,30,6.1,3.8
Pomeranz, Drew,519141,2017,493,13,32.7,114.4,87.9,92.2,85.8,449,167,404,174,35.7,33,6.7,4.5
Darvish, Yu,506433,2017,493,13.2,35.7,112.2,86.2,91,82.7,440,174,396,154,31.4,31,6.3,4
Sale, Chris,519242,2017,492,15,35.8,112.7,86.8,91.9,81.7,440,185,402,150,30.5,30,6.1,3.5
Miley, Wade,489119,2017,489,7.4,33.9,115.3,87.6,93.3,83.9,447,154,406,175,35.8,31,6.3,4.3
Bundy, Dylan,605164,2017,488,19.4,34,115.2,88.8,92.7,85,456,204,400,178,36.5,38,7.8,5.4
Bauer, Trevor,545333,2017,488,9.7,36.1,112,89.4,94,86.1,439,168,396,191,39.2,38,7.8,5.1
Manaea, Sean,640455,2017,486,12.6,32.1,116.2,89.4,93.1,87.7,434,167,397,200,41.2,28,5.8,4.1
Wacha, Michael,608379,2017,485,9.8,32.2,111.7,87.2,91.5,84,450,161,399,145,30.1,27,5.6,3.9
Foltynewicz, Mike,592314,2017,480,13.6,33.8,112.8,88.5,92.4,84.3,463,180,407,158,32.9,26,5.4,3.8
García, Jaime,448802,2017,479,4.8,31.7,115.6,87.2,93.9,83.4,444,145,400,176,36.8,26,5.4,3.9
Arrieta, Jake,453562,2017,479,10.6,31.3,112.3,87.4,91.2,84.2,429,170,403,159,33.3,27,5.6,3.8
Miranda, Aríel,664641,2017,473,20.6,32.8,114.6,87.9,92.5,84.4,460,207,398,161,34,45,9.5,6.6
Nelson, Jimmy,519076,2017,472,5.9,32,116.1,85.9,90.5,82.8,447,150,409,148,31.4,19,4,2.6
Kluber, Corey,446372,2017,471,10.5,33.8,111.6,85.3,89.7,82.2,461,164,414,137,29.2,25,5.3,3.2
