Season,Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2010,"Jeanmar Gomez","CLE","AAA",22,116,0.30790191,1.13986014,0.17962466,0.43699732,0.38337802,0.16083916,0.11188811,0.50260417,0.2421875,0.25520833,0.07529162,745,1141,1886,"9033"
2011,"Jeanmar Gomez","CLE","AAA",23,137.2,0.2875,1.49612403,0.18274112,0.48984772,0.32741117,0.20930233,0.0620155,0.4754902,0.23039216,0.29411765,0.08547839,792,1267,2059,"9033"
2012,"Brad Hand","MIA","AAA",22,148.1,0.28860759,1.12582781,0.19950125,0.42394015,0.3765586,0.16556291,0.09933775,0.43520782,0.24938875,0.31540342,0.10247064,1004,1465,2469,"9111"
2017,"TJ House","TOR","AAA",27,133.1,0.33253012,1.72881356,0.22222222,0.49275362,0.28502415,0.1779661,0.09322034,0.42688679,0.24292453,0.33018868,0.09314587,887,1389,2276,"9121"
2013,"TJ House","CLE","AAA",23,141.2,0.33777778,1.952,0.17078652,0.54831461,0.28089888,0.136,0.088,0.4326087,0.23043478,0.33695652,0.10217114,877,1472,2349,"9121"
2012,"Charlie Leesman","CHW","AAA",25,135,0.30099502,1.75213675,0.18481013,0.51898734,0.29620253,0.15384615,0.06837607,0.45873786,0.18932039,0.35194175,0.08998145,850,1306,2156,"9124"
2014,"Sean O'Sullivan","PHI","AAA",26,148.2,0.29211087,1.08602151,0.18658281,0.42348008,0.38993711,0.18817204,0.09139785,0.42386831,0.24897119,0.32716049,0.07741935,871,1454,2325,"9137"
2015,"Tim Melville","DET","AAA",25,151.2,0.2737069,0.89583333,0.21888412,0.36909871,0.41201717,0.1875,0.07291667,0.42767296,0.2557652,0.31656184,0.08454106,947,1537,2484,"9149"
2012,"Ryan Verdugo","KCR","AAA",25,136.2,0.25469169,0.71428571,0.15625,0.3515625,0.4921875,0.22222222,0.1005291,0.43734015,0.23273657,0.32992327,0.1033275,908,1376,2284,"9154"
2012,"Charles Brewer","ARI","AAA",24,133.2,0.34474886,1.13939394,0.21380846,0.41870824,0.3674833,0.16969697,0.15757576,0.43722944,0.25974026,0.3030303,0.07927928,773,1447,2220,"9155"
2013,"Charles Brewer","ARI","AAA",25,139.2,0.33410138,1.57664234,0.18475751,0.49884527,0.31639723,0.18978102,0.09489051,0.39910314,0.26233184,0.33856502,0.07462687,856,1489,2345,"9155"
2014,"Charles Brewer","ARI","AAA",26,126.1,0.34,1.45238095,0.23134328,0.45522388,0.31343284,0.19047619,0.07936508,0.36764706,0.22794118,0.40441176,0.06845966,717,1328,2045,"9155"
2010,"Alan Johnson","COL","AAA",26,141.2,0.36842105,1.37579618,0.21802935,0.45283019,0.32914046,0.17197452,0.08917197,0.43558282,0.23517382,0.32924335,0.06560986,819,1452,2271,"917"
2011,"Alan Johnson","COL","AAA",27,132,0.39915074,1.4875,0.14775161,0.50963597,0.34261242,0.15625,0.08125,0.47204969,0.23188406,0.29606625,0.07263815,867,1377,2244,"917"
2018,"Casey Kelly","SFG","AAA",28,136,0.32535885,1.06547619,0.19302326,0.41627907,0.39069767,0.20833333,0.11309524,0.44036697,0.25688073,0.30275229,0.08060905,758,1475,2233,"9174"
2014,"Kyle Lobstein","DET","AAA",24,146,0.35964912,1.36075949,0.172949,0.4767184,0.35033259,0.14556962,0.06329114,0.35974304,0.28907923,0.35117773,0.0943473,908,1551,2459,"9178"
2019,"Daniel Corcino","LAD","AAA",28,119.1,0.2652439,0.82165605,0.16860465,0.375,0.45639535,0.19745223,0.15923567,0.48857143,0.26857143,0.24285714,0.11171527,798,1225,2023,"9266"
2013,"Daniel Corcino","CIN","AAA",22,129,0.30769231,0.96875,0.23728814,0.37530266,0.3874092,0.21875,0.10625,0.46666667,0.2547619,0.27857143,0.07524059,935,1351,2286,"9266"
2012,"Rob Scahill","COL","AAA",25,152,0.35520362,1.45394737,0.13053613,0.51515152,0.35431235,0.11184211,0.07236842,0.43046358,0.28476821,0.28476821,0.10300752,1053,1607,2660,"9286"
2016,"Dylan Axelrod","MIA","AAA",30,133.1,0.30310263,1.04968944,0.21800948,0.40047393,0.38151659,0.24223602,0.08074534,0.48036952,0.27482679,0.2448037,0.08273894,800,1303,2103,"9303"
2015,"Mike Belfiore","DET","AAA",26,123.2,0.31463415,0.98757764,0.2195122,0.38780488,0.39268293,0.17391304,0.08695652,0.44047619,0.27380952,0.28571429,0.0726257,763,1206,1969,"9324"
2010,"Michael Crotta","PIT","AAA",25,131.1,0.34802784,2.45454545,0.20093458,0.56775701,0.23130841,0.14141414,0.1010101,0.47954545,0.20454545,0.31590909,0.07952872,740,1297,2037,"9337"
2010,"Bryan Augenstein","ARI","AAA",23,120.2,0.37220844,1.36296296,0.20646766,0.45771144,0.3358209,0.18518519,0.08888889,0.4622871,0.27250608,0.26520681,0.0993184,716,1338,2054,"936"
2016,"Hiram Burgos","MIL","AAA",28,143.1,0.33487298,1,0.16129032,0.41935484,0.41935484,0.17032967,0.06593407,0.48984199,0.24153499,0.26862302,0.07725322,868,1462,2330,"9412"
2015,"Barry Zito","OAK","AAA",37,138,0.26179245,0.83870968,0.19339623,0.36792453,0.43867925,0.24193548,0.05376344,0.46189376,0.26558891,0.27251732,0.07208388,929,1360,2289,"944"
2015,"Dan Straily","HOU","AAA",26,122.2,0.35638298,0.79874214,0.25906736,0.32901554,0.4119171,0.26415094,0.08176101,0.42930591,0.24935733,0.32133676,0.13130818,669,1372,2041,"9460"
2010,"Drew Carpenter","PHI","AAA",25,151,0.29515419,1.02906977,0.23632385,0.38730853,0.37636761,0.1627907,0.10465116,0.46794872,0.26495726,0.26709402,0.09371043,871,1498,2369,"9533"
2011,"Brandon Duckworth","BOS","AAA",35,118,0.29310345,1.04895105,0.17231638,0.42372881,0.4039548,0.18181818,0.07692308,0.42977528,0.26966292,0.3005618,0.08328995,759,1162,1921,"954"
2015,"Randy Wolf","TOR","AAA",38,139.2,0.32374101,1.39694656,0.23600973,0.44525547,0.31873479,0.2519084,0.03053435,0.41288783,0.28162291,0.30548926,0.07702826,793,1401,2194,"976"
2010,"Chaz Roe","COL","AAA",23,158,0.36090226,1.49132948,0.1928839,0.48314607,0.32397004,0.12138728,0.10404624,0.4571949,0.27322404,0.26958106,0.07831562,972,1569,2541,"9866"
2010,"Michael Kirkman","TEX","AAA",23,131,0.29558011,0.98611111,0.20334262,0.39554318,0.40111421,0.20833333,0.05555556,0.35772358,0.31436314,0.32791328,0.10894597,910,1348,2258,"9877"
2010,"Lance Broadway","TOR","AAA",26,141,0.36016097,1.59602649,0.21285141,0.48393574,0.30321285,0.16556291,0.10596026,0.49023438,0.23632813,0.2734375,0.08554217,1022,1468,2490,"9885"
2012,"Garrett Olson","NYM","AAA",28,122.1,0.32360743,1.20149254,0.20698925,0.4327957,0.36021505,0.20895522,0.08208955,0.41752577,0.28608247,0.29639175,0.0887372,753,1298,2051,"9889"
2012,"Chris Rusin","CHC","AAA",25,140.1,0.29119639,1.64028777,0.17342342,0.51351351,0.31306306,0.1294964,0.12230216,0.46637744,0.24511931,0.28850325,0.08711271,842,1385,2227,"9895"
2013,"Chris Rusin","CHC","AAA",26,121,0.27202073,1.56302521,0.19947507,0.48818898,0.31233596,0.18487395,0.06722689,0.45477387,0.26884422,0.27638191,0.08493976,576,1084,1660,"9895"
2014,"Chris Rusin","CHC","AAA",27,146.1,0.31965443,1.82089552,0.17647059,0.53159041,0.291939,0.17164179,0.1119403,0.4539749,0.24895397,0.29707113,0.08388626,735,1375,2110,"9895"
2015,"Chris Volstad","PIT","AAA",28,155.2,0.31013917,2.25619835,0.2040404,0.55151515,0.24444444,0.14049587,0.02479339,0.47222222,0.23015873,0.29761905,0.06228814,877,1483,2360,"9901"
2016,"Chris Volstad","CHW","AAA",29,176.2,0.29697987,2.12820513,0.19205298,0.54966887,0.25827815,0.16666667,0.1025641,0.5130719,0.23039216,0.25653595,0.06192308,937,1663,2600,"9901"
2017,"Chris Volstad","CHW","AAA",30,118,0.36519608,1.97115385,0.22942643,0.51122195,0.25935162,0.13461538,0.11538462,0.42926829,0.26097561,0.3097561,0.07175141,652,1118,1770,"9901"
2013,"Chris Volstad","COL","AAA",26,127.2,0.32286996,1.83088235,0.13092551,0.56207675,0.30699774,0.11029412,0.08823529,0.45633188,0.23580786,0.30786026,0.05453644,783,1234,2017,"9901"
2010,"Matt Maloney","CIN","AAA",26,134.2,0.3,1.19727891,0.19451372,0.43890274,0.36658354,0.2585034,0.06122449,0.47826087,0.26570048,0.25603865,0.0893961,741,1362,2103,"9920"
2010,"Todd Redmond","ATL","AAA",25,162.2,0.2866242,0.8,0.19875776,0.35610766,0.44513458,0.1627907,0.09767442,0.43877551,0.25306122,0.30816327,0.08452292,907,1755,2662,"9943"
2011,"Todd Redmond","ATL","AAA",26,169.2,0.28033473,0.77876106,0.17453799,0.3613963,0.46406571,0.19911504,0.07964602,0.38276553,0.25651303,0.36072144,0.09790462,996,1772,2768,"9943"
2010,"Ryan Ketchner","DET","AAA",28,123.2,0.27792916,0.77192982,0.192,0.352,0.456,0.23976608,0.11695906,0.43701799,0.27763496,0.28534704,0.07438842,738,1265,2003,"sa199599"
2010,"Brian Mazone","PHI","AAA",33,165,0.28810409,0.88073394,0.23791822,0.35687732,0.40520446,0.30275229,0.08715596,0.45421903,0.25852783,0.28725314,0.06520859,842,1627,2469,"sa209900"
