last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Bassitt, Chris,605135,2021,637,428,0.218,0.227,-0.009000000000000008,0.348,0.362,-0.014000000000000012,0.274,0.286,-0.011999999999999955,3.15,3.42,-0.274
Skubal, Tarik,669373,2021,634,417,0.245,0.267,-0.02200000000000002,0.476,0.508,-0.03200000000000003,0.332,0.357,-0.024999999999999967,4.34,5.58,-1.241
Garcia, Luis,677651,2021,633,413,0.232,0.236,-0.003999999999999976,0.393,0.394,-0.0010000000000000009,0.297,0.304,-0.007000000000000006,3.48,3.89,-0.414
Lester, Jon,452657,2021,627,478,0.285,0.274,0.010999999999999954,0.478,0.453,0.024999999999999967,0.352,0.344,0.008000000000000007,4.71,5.12,-0.408
Richards, Garrett,572070,2021,617,437,0.289,0.285,0.0040000000000000036,0.468,0.465,0.0030000000000000027,0.356,0.357,-0.0010000000000000009,4.87,5.58,-0.707
Quantrill, Cal,615698,2021,616,439,0.234,0.244,-0.009999999999999981,0.373,0.387,-0.014000000000000012,0.296,0.308,-0.01200000000000001,2.89,4.01,-1.124
Bumgarner, Madison,518516,2021,613,439,0.242,0.245,-0.0030000000000000027,0.439,0.432,0.007000000000000006,0.315,0.319,-0.0040000000000000036,4.67,4.32,0.354
Keller, Brad,641745,2021,613,422,0.297,0.292,0.0050000000000000044,0.457,0.505,-0.04799999999999999,0.358,0.38,-0.02200000000000002,5.39,6.47,-1.083
Mize, Casey,663554,2021,612,442,0.234,0.254,-0.01999999999999999,0.418,0.462,-0.04400000000000004,0.308,0.338,-0.030000000000000027,3.71,4.92,-1.208
Taillon, Jameson,592791,2021,603,413,0.238,0.23,0.00799999999999998,0.422,0.401,0.020999999999999963,0.309,0.304,0.0050000000000000044,4.30,3.89,0.413
Houser, Adrian,605288,2021,599,420,0.228,0.24,-0.011999999999999983,0.34,0.358,-0.01799999999999996,0.297,0.312,-0.015000000000000013,3.23,4.12,-0.895
Plesac, Zach,668676,2021,598,456,0.248,0.255,-0.007000000000000006,0.437,0.456,-0.019000000000000017,0.314,0.325,-0.01100000000000001,4.67,4.51,0.158
Webb, Logan,657277,2021,596,394,0.234,0.229,0.0050000000000000044,0.332,0.329,0.0030000000000000027,0.274,0.276,-0.0020000000000000018,3.03,3.18,-0.146
Fedde, Erick,607200,2021,590,409,0.275,0.263,0.01200000000000001,0.466,0.457,0.009000000000000008,0.34,0.337,0.0030000000000000027,5.47,4.89,0.578
Means, John,607644,2021,590,426,0.224,0.242,-0.017999999999999988,0.427,0.441,-0.014000000000000012,0.294,0.31,-0.016000000000000014,3.62,4.06,-0.44
Foltynewicz, Mike,592314,2021,586,444,0.26,0.265,-0.0050000000000000044,0.527,0.491,0.03600000000000003,0.355,0.349,0.006000000000000005,5.44,5.30,0.139
Singer, Brady,663903,2021,586,391,0.281,0.258,0.02300000000000002,0.414,0.398,0.01599999999999996,0.338,0.326,0.01200000000000001,4.91,4.54,0.369
Wood, Alex,622072,2021,585,378,0.236,0.239,-0.0030000000000000027,0.372,0.377,-0.0050000000000000044,0.298,0.304,-0.006000000000000005,3.83,3.89,-0.061
Gonzales, Marco,594835,2021,585,430,0.234,0.257,-0.022999999999999993,0.465,0.483,-0.01799999999999996,0.321,0.341,-0.020000000000000018,3.96,5.02,-1.064
Harvey, Matt,518774,2021,582,445,0.299,0.289,0.010000000000000009,0.481,0.476,0.0050000000000000044,0.355,0.351,0.0040000000000000036,6.27,5.37,0.904
Peralta, Freddy,642547,2021,580,318,0.165,0.174,-0.00899999999999998,0.3,0.289,0.01100000000000001,0.252,0.253,-0.0010000000000000009,2.81,2.66,0.146
Gray, Sonny,543243,2021,575,361,0.225,0.216,0.009000000000000008,0.385,0.325,0.06,0.3,0.279,0.020999999999999963,4.19,3.25,0.94
Valdez, Framber,664285,2021,572,378,0.22,0.231,-0.01100000000000001,0.327,0.343,-0.016000000000000014,0.288,0.301,-0.013000000000000012,3.14,3.81,-0.669
Heaney, Andrew,571760,2021,558,361,0.256,0.237,0.019000000000000017,0.487,0.431,0.055999999999999994,0.341,0.318,0.02300000000000002,5.83,4.30,1.53
Bubic, Kris,663460,2021,556,376,0.248,0.256,-0.008000000000000007,0.444,0.456,-0.01200000000000001,0.337,0.349,-0.011999999999999955,4.43,5.30,-0.869
López, Jorge,605347,2021,555,377,0.293,0.275,0.01799999999999996,0.485,0.449,0.035999999999999976,0.369,0.353,0.016000000000000014,6.07,5.44,0.626
Snell, Blake,605483,2021,550,308,0.214,0.232,-0.018000000000000016,0.375,0.431,-0.055999999999999994,0.305,0.335,-0.030000000000000027,4.20,4.82,-0.623
Rogers, Trevor,669432,2021,550,341,0.218,0.223,-0.0050000000000000044,0.318,0.343,-0.025000000000000022,0.27,0.284,-0.013999999999999957,2.64,3.37,-0.731
Smyly, Drew,592767,2021,546,385,0.269,0.267,0.0020000000000000018,0.48,0.471,0.009000000000000008,0.342,0.342,0,4.48,5.05,-0.574
Brubaker, JT,664141,2021,537,362,0.254,0.252,0.0020000000000000018,0.48,0.44,0.03999999999999998,0.34,0.329,0.01100000000000001,5.36,4.63,0.727
Anderson, Ian,666120,2021,535,357,0.221,0.24,-0.01899999999999999,0.371,0.41,-0.03899999999999998,0.293,0.317,-0.02400000000000002,3.58,4.27,-0.693
Rodón, Carlos,607074,2021,534,304,0.189,0.189,0,0.306,0.314,-0.008000000000000007,0.247,0.254,-0.007000000000000006,2.37,2.68,-0.306
Allard, Kolby,663465,2021,534,395,0.258,0.266,-0.008000000000000007,0.474,0.481,-0.007000000000000006,0.331,0.343,-0.01200000000000001,5.41,5.09,0.324
Ohtani, Shohei,660271,2021,533,323,0.207,0.207,0,0.351,0.344,0.007000000000000006,0.279,0.282,-0.002999999999999947,3.18,3.32,-0.144
Wacha, Michael,608379,2021,528,372,0.27,0.283,-0.012999999999999956,0.467,0.499,-0.03199999999999997,0.334,0.355,-0.020999999999999963,5.05,5.51,-0.457
Crowe, Wil,640444,2021,524,350,0.276,0.256,0.020000000000000018,0.501,0.456,0.044999999999999984,0.369,0.348,0.02100000000000002,5.48,5.26,0.217
Gallen, Zac,668678,2021,523,330,0.233,0.23,0.0030000000000000027,0.413,0.382,0.030999999999999972,0.313,0.306,0.007000000000000006,4.30,3.95,0.352
Alzolay, Adbert,640470,2021,519,352,0.236,0.249,-0.013000000000000012,0.439,0.451,-0.01200000000000001,0.312,0.326,-0.014000000000000012,4.58,4.54,0.044
McClanahan, Shane,663556,2021,517,337,0.252,0.263,-0.01100000000000001,0.389,0.436,-0.046999999999999986,0.304,0.328,-0.02400000000000002,3.43,4.60,-1.17
Mills, Alec,621219,2021,517,389,0.291,0.28,0.010999999999999954,0.451,0.429,0.02200000000000002,0.343,0.334,0.009000000000000008,5.07,4.79,0.277
Freeland, Kyle,607536,2021,515,368,0.284,0.247,0.03699999999999998,0.471,0.414,0.056999999999999995,0.349,0.314,0.034999999999999976,4.33,4.18,0.146
Dunning, Dane,641540,2021,511,347,0.275,0.265,0.010000000000000009,0.427,0.419,0.008000000000000007,0.336,0.333,0.0030000000000000027,4.51,4.76,-0.247
Pérez, Martín,527048,2021,509,367,0.296,0.28,0.01599999999999996,0.481,0.47,0.01100000000000001,0.358,0.356,0.0020000000000000018,4.74,5.54,-0.803
Gilbert, Logan,669302,2021,503,341,0.241,0.242,-0.0010000000000000009,0.425,0.428,-0.0030000000000000027,0.305,0.311,-0.006000000000000005,4.68,4.09,0.586
Kaprielian, James,621076,2021,502,333,0.233,0.239,-0.005999999999999978,0.43,0.437,-0.007000000000000006,0.314,0.324,-0.010000000000000009,4.07,4.48,-0.407
Smith, Caleb,592761,2021,500,306,0.217,0.216,0.0010000000000000009,0.401,0.384,0.017000000000000015,0.317,0.313,0.0040000000000000036,4.83,4.15,0.68
Civale, Aaron,650644,2021,498,364,0.236,0.262,-0.026000000000000023,0.443,0.461,-0.018000000000000016,0.311,0.333,-0.02200000000000002,3.84,4.76,-0.924
Gutierrez, Vladimir,661269,2021,496,357,0.263,0.252,0.01100000000000001,0.469,0.421,0.04799999999999999,0.345,0.327,0.01799999999999996,4.74,4.57,0.167
McKenzie, Triston,663474,2021,495,298,0.194,0.23,-0.036000000000000004,0.383,0.412,-0.02899999999999997,0.296,0.322,-0.026000000000000023,4.95,4.42,0.53
Gant, John,607231,2021,491,322,0.233,0.258,-0.024999999999999994,0.368,0.394,-0.026000000000000023,0.321,0.344,-0.022999999999999965,4.09,5.12,-1.029
Cueto, Johnny,456501,2021,490,358,0.285,0.278,0.006999999999999951,0.465,0.452,0.013000000000000012,0.342,0.338,0.0040000000000000036,4.08,4.92,-0.839
Lauer, Eric,641778,2021,489,329,0.215,0.231,-0.016000000000000014,0.356,0.393,-0.03700000000000003,0.28,0.302,-0.021999999999999964,3.19,3.84,-0.655
Kershaw, Clayton,477132,2021,488,319,0.224,0.222,0.0020000000000000018,0.374,0.373,0.0010000000000000009,0.274,0.275,-0.0010000000000000009,3.55,3.15,0.401
Gomber, Austin,596295,2021,488,331,0.232,0.238,-0.005999999999999978,0.42,0.408,0.01200000000000001,0.309,0.309,0,4.53,4.03,0.496
Keller, Mitch,656605,2021,470,322,0.322,0.289,0.03300000000000003,0.477,0.452,0.024999999999999967,0.379,0.359,0.020000000000000018,6.17,5.65,0.519
Arrieta, Jake,453562,2021,469,336,0.32,0.285,0.03500000000000003,0.563,0.509,0.05399999999999994,0.4,0.373,0.027000000000000024,7.39,6.19,1.199
Ross, Joe,605452,2021,460,309,0.237,0.247,-0.010000000000000009,0.402,0.415,-0.012999999999999956,0.305,0.316,-0.01100000000000001,4.17,4.24,-0.073
Paddack, Chris,663978,2021,459,337,0.269,0.274,-0.0050000000000000044,0.445,0.46,-0.015000000000000013,0.319,0.331,-0.01200000000000001,5.07,4.69,0.378
Manoah, Alek,666201,2021,459,276,0.192,0.199,-0.007000000000000006,0.314,0.321,-0.007000000000000006,0.273,0.281,-0.008000000000000007,3.22,3.30,-0.076
Pineda, Michael,501381,2021,458,347,0.265,0.282,-0.01699999999999996,0.453,0.475,-0.021999999999999964,0.32,0.338,-0.018000000000000016,3.62,4.92,-1.298
Ureña, José,570632,2021,456,343,0.292,0.285,0.007000000000000006,0.475,0.476,-0.0010000000000000009,0.36,0.365,-0.0050000000000000044,5.81,5.88,-0.069
Espino, Paolo,502179,2021,455,337,0.256,0.271,-0.015000000000000013,0.46,0.483,-0.022999999999999965,0.319,0.336,-0.017000000000000015,4.27,4.86,-0.593
Maeda, Kenta,628317,2021,453,300,0.258,0.232,0.025999999999999995,0.433,0.382,0.05099999999999999,0.325,0.298,0.027000000000000024,4.66,3.73,0.925
Kim, Kwang Hyun,547942,2021,452,329,0.242,0.253,-0.01100000000000001,0.373,0.418,-0.044999999999999984,0.3,0.323,-0.02300000000000002,3.46,4.45,-0.991
Alexander, Tyler,641302,2021,451,332,0.255,0.25,0.0050000000000000044,0.429,0.429,0,0.315,0.318,-0.0030000000000000027,3.81,4.30,-0.491
González, Chi Chi,592346,2021,448,358,0.311,0.314,-0.0030000000000000027,0.538,0.542,-0.0040000000000000036,0.381,0.387,-0.006000000000000005,6.46,6.77,-0.308
