last_name, first_name,player_id,year,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Pérez, Martín,527048,2016,672,6.5,31.5,113.7,89.6,93.7,87.2,455,153,408,251,37.4,40,6,4.7
Price, David,456034,2016,666,11.5,32.4,113,87.8,92.3,84.5,450,166,393,220,33,42,6.3,4.4
Porcello, Rick,519144,2016,656,13.7,32.8,114.8,88.4,92.6,85.5,458,173,405,230,35.1,46,7,5.2
Iwakuma, Hisashi,547874,2016,638,14.6,33.5,111.7,88.7,92.2,87.4,442,175,397,216,33.9,37,5.8,4.4
Volquez, Edinson,450172,2016,631,7.4,32.2,112,88.9,93.4,86.3,480,157,413,224,35.5,40,6.3,4.7
Stroman, Marcus,573186,2016,630,0.5,26.5,115.8,90.4,95.4,88.3,444,130,399,264,41.9,31,4.9,3.6
Cueto, Johnny,456501,2016,630,10.6,30.2,114.7,87.8,92.5,85.4,443,157,407,209,33.2,28,4.4,3.2
Colon, Bartolo,112526,2016,628,12.2,29.9,117.1,90,92.7,88.9,451,165,404,236,37.6,33,5.3,4.2
Nolasco, Ricky,445060,2016,624,11.6,33.8,111.8,88.7,92.1,86,451,179,397,224,35.9,40,6.4,4.9
Graveman, Kendall,608665,2016,623,6,30,115.6,89.6,94.4,86.5,426,146,395,241,38.7,34,5.5,4.3
Wainwright, Adam,425794,2016,622,11.1,37.5,110.6,86.9,90.9,84.2,439,167,406,188,30.2,37,5.9,4.4
Sale, Chris,519242,2016,612,14.6,33.5,116.4,88.7,91.8,86.7,451,179,391,204,33.3,35,5.7,3.9
Bettis, Chad,518452,2016,610,6.8,31.1,115.8,88.7,92.1,86.5,504,153,412,213,34.9,34,5.6,4.2
Weaver, Jered,450308,2016,608,21.1,38.3,112.7,88.2,92.7,83.9,453,205,399,195,32.1,45,7.4,5.9
Samardzija, Jeff,502188,2016,607,10.9,31.1,115.1,88.7,92.2,86.6,427,167,393,213,35.1,37,6.1,4.5
Quintana, José,500779,2016,602,16.2,33.1,114.1,88.2,91.3,87.6,436,176,384,206,34.2,27,4.5,3.2
Tanaka, Masahiro,547888,2016,601,9,31.6,113.9,88.9,92.6,86.7,445,157,385,218,36.3,26,4.3,3.2
Bumgarner, Madison,518516,2016,599,15.5,29.5,114,88.5,92.1,86.5,451,180,400,187,31.2,40,6.7,4.4
Roark, Tanner,543699,2016,597,8.7,30.5,113.8,87.4,91,85.2,452,157,404,181,30.3,32,5.4,3.7
Leake, Mike,502190,2016,595,6.2,29.7,114.7,89,93,86.5,456,153,408,219,36.8,37,6.2,4.9
Shields, James,448306,2016,595,12.9,34.6,115.8,88.7,92.2,85.7,462,185,398,198,33.3,50,8.4,6.1
Eickhoff, Jerad,595191,2016,594,15.4,32.8,114.9,88.6,92.6,85.7,460,180,384,208,35,34,5.7,4.2
Fister, Doug,450729,2016,594,10.7,34,114.3,87.5,91.7,84.5,433,169,392,212,35.7,27,4.5,3.5
Ventura, Yordano,570649,2016,586,8.6,30.2,113,89.8,93.6,87.8,465,163,410,225,38.4,46,7.8,5.6
Tomlin, Josh,458708,2016,584,10.7,35.4,112.2,87.9,92,84.4,451,175,404,188,32.2,42,7.2,5.8
Verlander, Justin,434378,2016,584,19.5,29.8,115.9,87.9,91.6,86.2,449,191,402,192,32.9,44,7.5,4.9
Moore, Matt,519043,2016,582,17.1,30.9,112.3,88.8,91.3,87.2,457,181,403,183,31.4,37,6.4,4.4
Kluber, Corey,446372,2016,569,12,34.4,113.6,86.7,90.7,83.9,456,169,404,173,30.4,34,6,4
Happ, J.A.,457918,2016,567,12.2,32.1,113.6,89.5,93.5,87,438,171,396,211,37.2,42,7.4,5.3
Hellickson, Jeremy,476451,2016,567,14.7,37.4,114.9,87.6,91.9,84.9,425,180,397,161,28.4,39,6.9,5.1
Nelson, Jimmy,519076,2016,564,9.2,27.7,114.3,88.8,92.1,87.3,450,157,405,198,35.1,31,5.5,3.8
Bauer, Trevor,545333,2016,564,9.9,30.3,112.3,89.6,92.8,88.5,451,158,397,224,39.7,32,5.7,3.9
Hamels, Cole,430935,2016,563,8,32,113.2,87.6,91.8,85.1,446,160,411,201,35.7,34,6,4
Sanchez, Aaron,592717,2016,561,4.5,27.5,116.5,90,93.4,88.6,425,143,402,223,39.8,34,6.1,4.3
McHugh, Collin,543521,2016,559,14.3,33.6,113.8,87,90.1,85.6,467,171,401,158,28.3,26,4.7,3.3
Santiago, Héctor,502327,2016,557,20.1,33,114.6,89.7,93.5,88.6,491,195,407,219,39.3,52,9.3,6.6
Scherzer, Max,453286,2016,556,19.4,30.8,114.3,87.2,91.4,85.4,447,188,398,164,29.5,34,6.1,3.8
Kennedy, Ian,453178,2016,555,19.3,32.4,113.4,89.3,92.6,87.8,448,199,398,215,38.7,43,7.7,5.3
Martinez, Carlos,593372,2016,554,5.8,24.7,112.6,87.2,89.7,86.3,448,138,403,169,30.5,21,3.8,2.6
Odorizzi, Jake,543606,2016,549,16.6,34.6,112.9,89.9,93.5,87.9,437,186,389,197,35.9,46,8.4,6
Straily, Dan,573185,2016,546,18.9,35.7,118.7,88.9,91.8,87,456,199,402,191,35,41,7.5,5.2
Archer, Chris,502042,2016,546,10.3,29.7,112.5,90.2,93.7,88.7,449,169,407,221,40.5,46,8.4,5.4
Santana, Ervin,429722,2016,542,13.1,32.8,116.8,88.3,92.6,85.7,435,173,402,172,31.7,32,5.9,4.3
Sabathia, CC,282332,2016,542,9.7,27.5,111.1,85.1,89.9,82.7,426,147,397,146,26.9,24,4.4,3.1
Lester, Jon,452657,2016,541,11.6,31.2,112.6,87.4,90.1,86.4,423,162,390,158,29.2,22,4.1,2.8
Fiers, Mike,571666,2016,541,12.1,35.5,112.9,89.8,93.3,87.6,438,171,387,212,39.2,33,6.1,4.6
Teheran, Julio,527054,2016,541,16.2,33.1,112.1,88.8,92.8,86,451,191,406,182,33.6,35,6.5,4.6
Koehler, Tom,543408,2016,539,12,36.4,112.1,87.8,91.9,84.7,442,170,397,180,33.4,36,6.7,4.7
Dickey, R.A.,285079,2016,533,12.8,34.7,111.9,87.6,91.8,86,434,166,391,189,35.5,39,7.3,5.4
Gausman, Kevin,592332,2016,531,12.6,31.5,113.5,88.7,92.6,87.2,443,172,404,179,33.7,38,7.2,5
García, Jaime,448802,2016,527,4.5,28.1,116.1,88.7,92.8,86.6,461,141,402,186,35.3,30,5.7,4
González, Gio,461829,2016,526,9.1,31.2,119.3,88.7,93.2,85,446,166,396,178,33.8,31,5.9,4.1
Arrieta, Jake,453562,2016,523,6.5,30.8,109.8,86.7,91.5,84,424,150,390,155,29.6,25,4.8,3.1
