last_name, first_name,player_id,year,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Leake, Mike,502190,2019,671,11.6,31.4,114.4,90.7,94,89,471,174,404,287,42.9,59,8.8,7.1
Gonzales, Marco,594835,2019,657,14.7,31.5,112.9,88.3,93.1,85.3,447,172,395,224,35.2,32,4.9,3.7
Nova, Iván,467100,2019,635,10.7,34.5,118.9,88.8,93.3,85.6,440,161,396,244,38.4,46,7.2,5.7
Anderson, Brett,474463,2019,600,5,30.5,115.1,89.6,94.6,86.9,486,142,419,240,40,44,7.3,5.9
Alcantara, Sandy,645261,2019,598,11.8,29.9,111.7,87.3,92.3,83.8,444,164,404,205,34.3,39,6.5,4.7
Greinke, Zack,425844,2019,589,11,34.1,114,87.5,91.7,84.8,432,165,398,196,33.3,37,6.3,4.6
Minor, Mike,501985,2019,588,16.5,31.3,113.1,86.9,90.2,85.2,450,174,401,179,30.4,41,7,4.8
Bumgarner, Madison,518516,2019,587,18.3,35.6,113.2,90.4,93,88.8,473,192,404,245,41.8,53,9,6.3
Berríos, José,621244,2019,587,13.9,34.1,115.2,87,91.2,84,441,172,405,188,32,38,6.5,4.5
Wheeler, Zack,554430,2019,580,12.3,34.5,117.6,87,90.4,84.7,447,167,404,188,32.4,31,5.3,3.7
Mikolas, Miles,571945,2019,576,10.3,33,112.9,88.5,92.4,86.1,429,164,397,204,36.6,35,6.1,4.6
Porcello, Rick,519144,2019,573,15.7,33.9,116.1,88.4,93.5,83.9,452,183,397,213,37.6,54,9.4,7
Tanaka, Masahiro,547888,2019,568,11,32.4,113,89,93.1,86.9,455,160,404,212,37.7,34,6,4.5
Syndergaard, Noah,592789,2019,567,9.8,29.6,111,86.8,90.3,85,447,153,402,177,31.2,28,4.9,3.4
López, Reynaldo,625643,2019,567,17.7,36.3,114.2,88.8,92.7,85.8,505,193,401,217,38.3,43,7.6,5.3
Fiers, Mike,571666,2019,566,15.7,31.4,111.3,88.1,93.3,84.2,458,176,401,212,38.3,41,7.2,5.4
Rodriguez, Eduardo,593958,2019,564,9.3,30.9,111.9,86.3,91,83.2,455,160,403,163,29.7,33,5.9,3.8
Lynn, Lance,458681,2019,562,13.8,34,113.5,87.9,91.3,85.7,454,179,407,185,33.8,33,5.9,3.8
Kelly, Merrill,518876,2019,558,12.5,33,112.7,89.9,93.6,87,443,177,405,223,40,53,9.5,6.8
Bauer, Trevor,545333,2019,557,16.4,33.6,111.9,88.7,92.4,86.4,451,183,396,210,37.7,48,8.6,5.3
Stroman, Marcus,573186,2019,555,5.6,27.2,113.9,88.2,92.8,85.8,426,139,384,197,35.6,23,4.1,3
Bieber, Shane,669456,2019,554,12.6,32.5,113.5,90.6,94.1,88.5,447,172,391,231,43.3,47,8.5,5.5
Kikuchi, Yusei,579328,2019,549,12.3,32.1,115.1,89.2,93.3,87.2,462,169,398,209,39.1,42,7.7,5.8
Samardzija, Jeff,502188,2019,545,16.9,34.5,117.9,89.5,93.5,85.7,440,194,403,205,37.7,45,8.3,6.1
Quintana, José,500779,2019,544,11.1,34.6,114.2,90,92.9,88.6,468,174,402,199,37.9,31,5.7,4.2
Lester, Jon,452657,2019,542,12.2,37.1,112.2,88.6,91.9,86.4,457,176,407,188,34.7,40,7.4,5.2
Hendricks, Kyle,543294,2019,538,14.2,33.6,112.5,86.5,90.7,83.5,438,174,398,169,31.5,29,5.4,4
Junis, Jakob,596001,2019,537,12.7,35.4,112.8,90.1,92.6,88.6,473,178,408,221,41.2,46,8.6,6
Nola, Aaron,605400,2019,532,9.2,32.9,113.3,89.2,93.9,86.3,445,160,399,210,39.5,36,6.8,4.2
Ryu, Hyun Jin,547943,2019,532,7.2,32.5,115.3,86.6,90.6,84,438,148,403,164,30.8,25,4.7,3.5
Pérez, Martín,527048,2019,532,9.5,33.5,113.8,86.2,91.5,82.3,444,154,385,158,29.7,28,5.3,3.8
Hudson, Dakota,641712,2019,526,3.3,31,114.6,89.3,94.6,86.7,448,139,406,204,38.8,36,6.8,4.8
Strasburg, Stephen,544931,2019,524,7.8,29.8,113.4,87.9,92.2,85.4,458,150,400,177,33.8,32,6.1,3.8
Corbin, Patrick,571578,2019,524,8.4,31.7,115,89.9,95,86,462,166,420,203,38.7,49,9.4,5.9
Eflin, Zach,621107,2019,522,12,30.1,112.1,88.2,92.4,84.9,447,170,399,171,32.8,36,6.9,5.1
Wainwright, Adam,425794,2019,520,10.2,32.1,113.6,88.9,92.5,86.8,436,160,395,197,39.2,34,6.5,4.6
Davies, Zach,605200,2019,516,13.8,37,113.8,88.7,92.5,86.2,473,181,401,172,33.3,37,7.2,5.5
Sánchez, Aníbal,434671,2019,516,14.7,37.8,113.7,87,91.4,82.5,436,185,405,146,28.3,34,6.6,4.8
Miley, Wade,489119,2019,513,8.3,29,114.3,87.5,91.1,85.2,441,152,388,159,32.5,22,4.3,3.1
Musgrove, Joe,605397,2019,512,11.7,31.4,112,88.9,92.5,86.8,449,172,403,198,38.7,33,6.4,4.6
Soroka, Michael,647336,2019,510,6.7,32.4,114.3,88.2,91.9,86.3,455,147,406,191,37.5,26,5.1,3.7
Keller, Brad,641745,2019,508,9.1,32.5,112.5,89.1,93.6,86.7,453,157,405,196,38.6,30,5.9,4.2
Márquez, Germán,608566,2019,506,7.2,34.2,116.3,91.1,93.6,89.4,469,160,407,218,43.1,40,7.9,5.5
Roark, Tanner,543699,2019,499,15.5,36.9,115.1,89,92.2,86.3,472,186,408,179,37.3,42,8.4,5.8
Verlander, Justin,434378,2019,498,18.5,30.1,109.8,87.3,91.8,83.3,436,190,390,157,33.3,36,7.2,4.3
deGrom, Jacob,594798,2019,498,13.2,31.5,111.6,86.5,91.7,82.4,456,168,404,147,30.8,24,4.8,3
Teheran, Julio,527054,2019,494,15.5,31.2,113.5,89,91.7,87.4,451,184,408,175,35.4,34,6.9,4.5
Boyd, Matthew,571510,2019,491,19.5,32,114.9,89.2,91.9,88,449,191,398,169,35.3,43,8.8,5.5
Bailey, Homer,456701,2019,490,13.8,30.6,114.7,90.3,93,89.3,436,170,393,189,39.8,28,5.7,4
Happ, J.A.,457918,2019,483,13.7,33.3,112.2,89.2,93.6,86.1,447,176,397,181,37.5,40,8.3,5.9
Gibson, Kyle,502043,2019,482,7.1,32.8,113,88.3,92.9,86,465,145,402,182,37.8,36,7.5,5.1
Morton, Charlie,450203,2019,481,9.2,34.3,112.1,86.9,90.7,85,431,156,398,158,32.8,24,5,3
Flaherty, Jack,656427,2019,479,15.5,33.4,116.3,86.6,91.2,84.2,431,178,399,145,30.3,33,6.9,4.3
Matz, Steven,571927,2019,479,10.3,31.5,113.6,88.9,92.5,86.9,482,163,408,185,38.6,41,8.6,5.9
Sparkman, Glenn,642098,2019,478,14.2,39.3,113.6,90.8,94.1,88.1,471,198,405,200,41.8,37,7.7,6.1
Buehler, Walker,621111,2019,478,12.8,34.5,111.3,89.3,92.5,86.5,458,181,396,174,36.4,26,5.4,3.5
Fried, Max,608331,2019,476,4.3,32.4,114,89.2,91.8,87.6,451,146,391,186,39.1,21,4.4,3
DeSclafani, Anthony,543101,2019,476,12.3,33.2,113.3,89.1,93.1,86.5,474,174,403,179,38.7,34,7.1,4.9
Bundy, Dylan,605164,2019,474,14,31.9,113.4,88.2,92.7,84.8,452,173,394,151,31.9,28,5.9,4
Williams, Trevor,592866,2019,472,17.2,35.6,114.1,88,92.5,85.2,441,191,398,168,35.6,39,8.3,6.1
Kershaw, Clayton,477132,2019,472,11.8,29.9,112.5,88.7,93.1,86.7,442,164,406,154,34.1,31,6.6,4.4
Means, John,607644,2019,472,20,36.9,115.3,87.5,90.9,83.6,446,199,403,145,30.7,32,6.8,5
Lucchesi, Joey,664192,2019,470,11.4,30.6,113,88.3,92.2,86.2,436,163,398,171,36.4,34,7.2,5
Castillo, Luis,622491,2019,469,5.8,26.2,112.8,87.2,91.9,84.7,442,137,403,154,33.6,24,5.1,3.1
Cashner, Andrew,488768,2019,466,10.3,31.8,120.6,89.7,94.4,86.4,441,170,407,191,41,36,7.7,5.7
Thornton, Trent,663423,2019,462,16.8,38.7,115.4,88.2,93,83,474,191,400,171,37,34,7.4,5
Lauer, Eric,641778,2019,457,14.1,32.4,112.6,89.8,93.8,87.1,436,179,397,180,39.4,27,5.9,4.1
Vargas, Jason,450306,2019,456,16.7,33.1,111.3,87.6,92.3,84,440,183,401,154,33.8,36,7.9,5.5
Senzatela, Antonio,622608,2019,445,4.9,31.2,114.1,90.1,93.5,88.5,466,146,408,196,44,27,6.1,4.6
Norris, Daniel,596057,2019,443,11.7,30.9,112.6,90.9,94,88.4,437,175,406,192,43.3,39,8.8,6.4
Cole, Gerrit,543037,2019,440,14,33.2,115.2,87.6,92.1,83.7,443,177,394,156,35.5,26,5.9,3.2
Turnbull, Spencer,605513,2019,435,9.6,33.8,114.4,89.6,93.6,86.9,444,166,386,177,40.7,29,6.7,4.4
Darvish, Yu,506433,2019,435,12.6,32.6,115.5,88.6,93.5,85,459,174,405,163,37.5,32,7.4,4.4
Gray, Sonny,543243,2019,428,9.1,30.1,115.1,88.1,91.9,86.1,425,151,409,137,33.3,29,6.8,4.1
Pineda, Michael,501381,2019,427,16.9,35.1,112.2,89.7,93,86.2,454,196,391,154,37.4,31,7.3,5.2
Gray, Jon,592351,2019,427,8.4,31.6,116.2,89.9,92.9,88.7,470,151,407,187,43.8,25,5.9,3.9
Arrieta, Jake,453562,2019,426,6.8,33.8,114,89.3,93.9,86.5,445,151,402,160,37.6,29,6.8,4.9
Odorizzi, Jake,543606,2019,423,18.1,37.1,114.4,89.2,92.6,86.9,462,190,397,153,36.2,33,7.8,5
Ray, Robbie,592662,2019,422,14.8,38.6,114.3,88.9,93.2,85,446,190,409,163,38.6,45,10.7,6
Jurado, Ariel,642558,2019,420,9.6,34.5,115.8,90,93.8,87.3,447,169,404,181,43.1,42,10,7.8
Sampson, Adrian,592716,2019,417,15.5,33.8,113.6,91,93.7,90.4,453,188,405,197,47.2,42,10.1,7.5
Giolito, Lucas,608337,2019,416,17.7,37.3,117,88.1,92.8,85,459,183,408,144,34.6,39,9.4,5.5
Yarbrough, Ryan,642232,2019,416,15.2,35.1,112.1,84.9,89.1,82.9,427,168,401,109,26.2,29,7,5.2
