last_name, first_name,player_id,year,player_age,b_total_pa,b_k_percent,b_bb_percent,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,pitch_count,batted_ball,
Pujols, Albert,405395,2020,40,163,15.3,5.5,.248,.401,.282,.299,.293,.154,88.6,16.4,30.5,7,5.5,34.4,98.349771111,5.28479528,622,128,
Cabrera, Miguel,408234,2020,37,231,22.1,10.4,.288,.520,.323,.379,.366,.231,93.2,12.1,36.8,15,9.7,49.7,102.655113117,8.026886144,909,155,
Choo, Shin-Soo,425783,2020,37,127,26.0,10.2,.254,.455,.312,.340,.338,.202,90,11.4,38,8,10.1,35.4,99.590915,6.103417763,523,79,
Molina, Yadier,425877,2020,37,156,13.5,3.8,.254,.385,.290,.298,.296,.131,84.7,12.3,38.9,3,2.4,25.4,95.328723016,3.70046664,557,126,
Cano, Robinson,429664,2020,37,182,13.2,4.9,.297,.481,.376,.353,.338,.184,90.4,6.2,31.8,11,7.4,46.6,102.61505473,7.745912925,605,148,
Encarnacion, Edwin,429665,2020,37,181,29.8,8.8,.161,.366,.272,.277,.257,.205,85.4,22.8,29.2,14,13.2,33,98.563050755,5.338255755,791,106,
Kendrick III, Howie,435062,2020,36,100,17.0,7.0,.282,.450,.298,.332,.333,.168,88.8,7.3,39.5,5,6.6,39.5,100.317676842,6.421104079,384,76,
Suzuki, Kurt,435559,2020,36,129,14.7,8.5,.243,.348,.326,.308,.330,.105,83.9,18,31.6,3,3.2,24.2,94.62029625,3.372653368,484,95,
Cruz Jr., Nelson,443558,2020,39,214,27.1,11.7,.269,.545,.411,.383,.369,.276,91.6,9.4,39.4,19,15,47.2,102.723679524,7.93307824,846,127,
Peralta, David,444482,2020,32,218,20.6,6.0,.260,.375,.333,.299,.304,.115,89.2,6.4,29.4,8,5,36.3,100.556636709,6.354591139,822,160,
Longoria, Evan,446334,2020,34,209,18.7,5.3,.282,.524,.308,.364,.329,.243,91.7,10.7,29.9,18,11.5,45.2,101.530260256,7.520896474,794,157,
Fowler, Dexter,451594,2020,34,101,27.7,9.9,.214,.351,.310,.292,.300,.137,84.5,11.2,33.9,3,4.8,27.4,96.071976774,4.057106452,451,62,
Cabrera, Asdrubal,452678,2020,34,213,18.8,8.9,.243,.429,.319,.317,.307,.186,89.5,13.7,30.5,10,6.5,38.3,97.982868684,5.323023224,849,154,
Blackmon, Charlie,453568,2020,33,247,17.8,7.7,.276,.426,.340,.331,.340,.150,86.9,13.5,38.5,9,4.9,29.7,97.303074157,4.71975736,906,182,
Frazier, Todd,453943,2020,34,172,24.4,6.4,.225,.370,.300,.294,.294,.145,87.8,20.5,33,6,5.2,31.3,98.348281786,5.274160268,715,115,
Maldonado, Martin,455117,2020,33,165,30.9,16.4,.202,.357,.326,.316,.339,.156,86.1,19.1,38.4,7,8.1,26.7,96.166389286,4.158860482,695,86,
Markakis, Nick,455976,2020,36,141,16.3,7.1,.276,.364,.307,.310,.333,.088,89,9.5,35.5,2,1.9,42.1,99.034273019,5.741427925,550,107,
Solano, Donovan,456781,2020,32,203,19.2,4.9,.278,.417,.357,.320,.320,.139,88.5,15.5,43.4,7,4.6,34.9,98.263815526,5.264044768,746,152,
McCutchen, Andrew,457705,2020,33,241,19.9,9.1,.276,.484,.327,.358,.346,.208,89.7,18.2,36.5,14,8.2,41.2,99.22758119,5.968213095,974,170,
Upton, Justin,457708,2020,32,166,25.9,6.6,.228,.430,.307,.329,.316,.202,91.7,18.6,25.7,9,8.6,43.8,101.522735094,7.215063714,682,105,
Maybin, Cameron,457727,2020,33,101,24.8,6.9,.241,.376,.302,.298,.301,.136,87.8,8.9,26.5,4,5.9,35.3,98.322610294,5.40143,398,68,
Turner, Justin,457759,2020,35,175,14.9,10.3,.298,.551,.376,.403,.394,.253,90.3,17.5,40.8,14,11.2,44,99.373362258,6.028252339,681,125,
Bruce, Jay,457803,2020,33,103,23.3,6.8,.237,.472,.297,.322,.289,.235,89,15.3,31.9,7,9.7,38.9,100.006678056,6.070415694,413,72,
Votto, Joey,458015,2020,36,223,19.3,16.6,.253,.478,.347,.369,.377,.225,87.4,15.4,36.4,13,9.1,35.7,98.39738875,5.296095944,923,143,
Gardner, Brett,458731,2020,36,158,22.2,16.5,.226,.370,.332,.327,.357,.144,89.2,15,35.4,5,5.2,36.5,98.883051489,5.849728602,653,96,
Joyce, Matt,459964,2020,35,148,27.7,13.5,.227,.337,.310,.310,.335,.110,86.7,12.5,36.8,3,3.4,32.2,96.427068837,4.39910407,602,87,
Braun, Ryan,460075,2020,36,141,19.1,5.0,.274,.477,.322,.342,.320,.204,89.8,15.3,35.9,12,11.7,40.8,100.284152353,6.491149604,496,103,
Gordon, Alex,460086,2020,36,184,20.1,9.8,.230,.352,.275,.301,.318,.122,82.8,11.6,34.1,4,3.2,25.4,96.317651311,4.159319426,707,126,
Kemp, Matt,461314,2020,35,132,31.1,11.4,.226,.430,.322,.321,.314,.205,85.3,11.9,38.2,6,7.9,28.9,96.947643421,4.483759605,547,76,
Andrus, Elvis,462101,2020,31,111,13.5,7.2,.234,.389,.255,.295,.289,.156,88.5,9.2,28.4,5,5.7,37.5,98.369457273,5.535145517,412,88,
Ramos, Wilson,467092,2020,32,155,20.0,6.5,.247,.420,.297,.317,.306,.173,89,6.5,26.8,8,7.1,42,101.041723929,6.832569732,529,112,
Santana, Carlos,467793,2020,34,255,16.9,18.4,.251,.448,.316,.372,.393,.196,88,12.2,32.3,11,6.7,36.6,99.260366296,5.650599074,1123,164,
Belt, Brandon,474832,2020,32,179,20.1,16.8,.287,.597,.427,.422,.406,.310,90.7,18,40.7,19,16.8,46.9,101.297268571,7.273395045,686,113,
Smoak, Justin,475253,2020,33,132,31.8,7.6,.187,.327,.265,.260,.260,.139,89.6,15.3,33.3,3,3.8,39.7,98.890258974,5.926609103,554,78,
Brantley Jr., Michael,488726,2020,33,187,15.0,9.1,.260,.413,.362,.325,.327,.153,88.7,10.2,34.5,7,4.9,37.3,98.251374648,5.415636667,721,142,
Gurriel, Yuli,493329,2020,36,230,11.7,5.2,.265,.408,.281,.318,.314,.143,89.3,13.9,34.4,7,3.7,36.5,98.527696064,5.454652781,789,189,
Rojas, Miguel,500743,2020,31,143,12.6,11.2,.277,.384,.379,.332,.369,.107,87.3,11.9,38.3,1,0.9,31.8,97.209962075,4.806100189,532,107,
Escobar, Eduardo,500871,2020,31,222,18.5,6.8,.263,.396,.257,.306,.317,.133,88.6,18.1,34.8,9,5.5,31.7,97.095200488,4.633428037,811,164,
Adrianza, Ehire,501303,2020,30,101,22.8,10.9,.204,.312,.257,.279,.299,.108,85.9,16,33.3,2,3,24.2,94.4003,3.307237656,406,66,
Pham, Tommy,502054,2020,32,125,21.6,12.0,.257,.450,.284,.353,.354,.192,92.8,2.4,22,6,7.3,50,102.55278225,8.2102395,499,82,
Martinez, J.D.,502110,2020,32,237,24.9,9.3,.229,.443,.290,.318,.306,.214,89.5,14.7,39.6,17,11,41.6,99.85455974,6.246308758,898,154,
Reddick, Josh,502210,2020,33,210,20.0,9.5,.246,.360,.304,.303,.319,.114,85.9,19.1,34.7,7,4.8,29.3,96.145119315,4.092886986,836,147,
Murphy, Daniel,502517,2020,35,132,15.9,5.3,.238,.345,.259,.267,.278,.106,85.1,15.5,35.9,5,4.9,25.2,95.442756923,3.766669709,487,103,
Goldschmidt, Paul,502671,2020,32,231,18.6,16.0,.285,.510,.387,.396,.403,.224,89.2,11.7,42.3,16,10.7,40.9,99.2678272,5.874685503,978,149,
Gonzalez, Marwin,503556,2020,31,199,20.6,8.5,.240,.401,.269,.314,.315,.162,89.2,12.6,31.9,7,5.1,38.4,98.202361739,5.451501168,802,138,
