last_name, first_name,player_id,year,player_age,b_total_pa,b_k_percent,b_bb_percent,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,pitch_count,batted_ball,
Pujols, Albert,405395,2019,39,545,12.5,7.9,.251,.428,.308,.319,.314,.178,88.3,12.5,26.5,25,5.8,36.6,98.702028255,5.397586981,2085,431,
Cabrera, Miguel,408234,2019,36,549,19.7,8.7,.270,.436,.318,.331,.337,.166,90.3,12.3,38.2,25,6.4,44.7,100.419225052,6.454148966,2033,390,
Mathis, Jeff,425772,2019,36,244,35.7,6.1,.160,.218,.190,.192,.211,.058,86.1,16.9,29.6,2,1.4,26.4,95.748303043,3.877173188,937,142,
Choo, Shin-Soo,425783,2019,36,660,25.0,11.8,.263,.474,.353,.362,.370,.211,91.9,9.2,31.8,35,8.8,49,102.002794264,7.652745761,2707,399,
Molina, Yadier,425877,2019,36,452,12.8,5.1,.271,.435,.303,.322,.317,.164,87.4,13.9,40.7,14,3.8,35,96.859216201,4.459737059,1617,366,
Cano, Robinson,429664,2019,36,423,16.3,5.9,.280,.448,.308,.330,.329,.168,90.9,7.4,33.6,24,7.4,46.3,101.525934815,7.073836935,1481,324,
Encarnacion, Edwin,429665,2019,36,486,21.2,11.9,.246,.523,.362,.367,.349,.277,90.2,22.5,34.3,41,12.9,42.9,101.299904231,6.808375673,2151,318,
Jones, Adam,430945,2019,33,528,19.1,5.9,.257,.432,.308,.319,.312,.175,86.2,13.5,31.3,26,6.7,31,97.264484508,4.647410494,1922,387,
Martin, Russell,431145,2019,36,249,24.1,12.0,.217,.345,.295,.304,.338,.128,88.2,11.2,25.8,8,5.3,34,98.385595,5.247893265,1066,151,
Granderson, Curtis,434158,2019,38,363,27.0,11.3,.214,.387,.275,.306,.310,.173,88.8,19.4,38.5,16,7.2,34.8,97.697461927,5.012019679,1571,221,
Morales, Kendrys,434778,2019,36,201,12.9,12.9,.274,.444,.264,.365,.385,.170,91.3,9.5,29,10,6.9,44.8,101.059318356,6.744231931,833,145,
Kendrick III, Howie,435062,2019,35,370,13.2,7.3,.332,.614,.400,.418,.388,.282,91.7,10.8,36.9,33,11.4,48.3,102.231581655,7.726170346,1397,290,
Kinsler, Ian,435079,2019,37,281,19.2,6.8,.206,.304,.277,.254,.268,.098,84.3,17.3,33.7,3,1.5,23.4,94.48613099,3.246012376,1082,205,
McCann, Brian,435263,2019,35,316,16.8,9.8,.237,.400,.311,.313,.318,.162,88.8,11.4,32.2,13,5.7,35.2,98.12994,5.223699563,1281,230,
Walker, Neil,435522,2019,33,381,20.2,11.0,.267,.429,.319,.339,.351,.162,86.2,11.7,40.6,17,6.5,31,96.257698626,4.144668659,1502,261,
Suzuki, Kurt,435559,2019,35,309,11.7,6.5,.277,.455,.337,.338,.337,.178,86,18.9,39.7,16,6.5,32.4,97.198997419,4.618344818,1053,247,
Desmond, Ian,435622,2019,33,482,24.7,7.1,.270,.481,.328,.340,.324,.211,90.9,8.7,32.4,34,10.4,42.5,102.261864356,7.3313524,1830,327,
Cruz Jr., Nelson,443558,2019,38,521,25.1,10.7,.290,.637,.417,.415,.377,.347,93.7,13.1,38.3,65,19.9,51.5,105.351946319,9.322233957,2115,326,
Peralta, David,444482,2019,31,423,20.6,8.3,.246,.379,.338,.304,.317,.133,90.1,6.4,29.1,16,5.4,40.9,100.762306892,6.542203682,1562,296,
Pina, Manny,444489,2019,32,179,27.9,8.9,.223,.401,.308,.305,.310,.178,88.5,16.2,44,9,8.3,34.3,98.190509444,5.132957685,747,109,
Jay, Jon,445055,2019,34,182,16.5,4.4,.252,.325,.275,.276,.297,.073,83.1,5.8,36.2,2,1.4,12.8,92.441222687,2.33245903,712,141,
Prado, Martin,445988,2019,35,260,15.8,4.6,.253,.338,.243,.273,.287,.085,87,8.3,31.9,1,0.5,28.5,96.085245962,4.064252512,1010,207,
Duda, Lucas,446263,2019,33,119,26.9,9.2,.222,.452,.245,.312,.297,.230,91.5,22.5,32,9,12,45.3,101.806439474,7.3628876,523,75,
Wieters, Matt,446308,2019,33,183,25.7,6.6,.217,.399,.292,.285,.271,.182,88.8,13.8,31.7,9,7.3,34.1,98.062080806,5.343596423,763,123,
Longoria, Evan,446334,2019,33,508,22.0,8.5,.269,.491,.322,.351,.340,.222,89.7,14,35.8,26,7.5,40.8,99.366085607,5.904958902,2018,346,
Cozart, Zack,446359,2019,33,107,15.0,4.7,.208,.273,.150,.247,.263,.064,85.9,21.6,31,1,1.2,21.4,94.784234048,3.447349405,395,84,
Rodriguez, Sean,446481,2019,34,139,29.5,13.7,.200,.332,.319,.303,.332,.132,88.3,13.5,28.9,4,5.3,36.8,100.293814722,6.252726056,590,76,
Reynolds, Mark,448602,2019,35,162,35.2,13.6,.166,.296,.267,.272,.292,.130,88.9,17.5,33.3,5,6.2,37,99.064327805,5.801911728,665,81,
Davis, Chris,448801,2019,33,352,39.5,11.1,.202,.369,.263,.292,.298,.166,89.1,14.1,39.8,18,10.5,39.2,98.670081163,5.560342924,1524,171,
Zobrist, Ben,450314,2019,38,176,13.6,13.1,.244,.317,.303,.303,.345,.073,85.8,5.3,25,1,0.8,23.4,95.067698906,3.56974189,710,128,
Fowler, Dexter,451594,2019,33,574,24.7,12.9,.250,.421,.326,.340,.357,.172,85.5,12.9,40.6,26,7.4,28.7,96.524358779,4.292498076,2417,350,
