연도,구단,KBO_팀순위,이름,수비율,연봉,재계약,나이,P,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR
2017,SK,5,제이미 로맥,0.9105,30000,1,32,RF,102,416,359,58,87,19,0,31,199,64,1,1,50,6,2,116,6,0,1,0.242,0.344,0.554,0.898,0.378,117.3,2.03
2017,롯데,3,앤디 번즈,0.995,60000,1,27,2B,116,468,423,71,128,38,0,15,211,57,10,7,29,11,0,100,18,2,3,0.303,0.361,0.499,0.859,0.375,116.2,2.61
2017,삼성,9,다린 러프,0.992,110000,1,31,1B,134,591,515,90,162,38,0,31,293,124,2,2,60,12,4,107,14,0,4,0.315,0.396,0.569,0.965,0.414,142.6,3.92
2017,KT,10,멜 로하스 주니어,0.959333333,80000,1,27,CF,83,367,336,52,101,27,3,18,188,56,5,8,23,5,0,81,6,0,3,0.301,0.352,0.56,0.911,0.388,124.7,2.53
2018,두산,2,지미 파레디스,0.9775,70000,0,30,RF,21,71,65,7,9,2,1,1,16,4,1,0,4,1,1,17,0,0,1,0.138,0.197,0.246,0.443,0.191,-2.4,-0.73
2018,두산,2,스캇 반 슬라이크,0.942,60000,0,32,RF,12,44,39,1,5,1,0,1,9,4,0,0,4,0,0,6,2,0,1,0.128,0.205,0.231,0.435,0.199,4.5,-0.43
2018,LG,8,아도니스 가르시아,0.882,70000,0,33,3B,50,206,183,27,62,9,0,8,95,34,5,0,9,8,0,25,3,0,6,0.339,0.384,0.519,0.903,0.388,131.4,1.53
2018,넥센,4,제리 샌즈,1,20000,1,31,RF,25,93,86,17,27,1,1,12,66,37,0,1,6,0,0,27,2,0,1,0.314,0.355,0.767,1.122,0.445,171.5,1.05
2018,한화,3,제라드 호잉,0.969,40000,1,29,RF,142,590,529,85,162,47,2,30,303,110,23,9,51,5,10,93,5,0,5,0.306,0.37,0.573,0.942,0.391,124.8,3.72
2019,두산,1,호세 미겔 페르난데스,0.973,30000,1,31,DH,144,645,572,87,197,34,0,15,276,88,1,2,61,6,4,54,16,0,6,0.344,0.409,0.483,0.892,0.408,154.7,5.1
2019,KIA,7,제레미 해즐베이커,0.9785,50000,0,32,CF,11,46,41,5,6,2,0,2,14,5,1,1,4,1,0,18,0,0,0,0.146,0.239,0.341,0.581,0.268,55.2,-0.05
2019,KIA,7,프레스톤 터커,0.976,20000,1,29,RF,95,399,357,50,111,33,0,9,171,50,0,0,38,3,0,44,12,0,1,0.311,0.381,0.479,0.86,0.393,141.4,3.25
2019,삼성,8,맥 윌리엄슨,0.974333333,64800,0,29,RF,40,168,154,19,42,7,1,4,63,15,0,1,13,0,0,50,2,0,1,0.273,0.327,0.409,0.737,0.339,101.9,0.46
2019,롯데,10,카를로스 아수아헤,0.986,55100,0,28,2B,48,194,163,34,41,5,4,2,60,21,3,2,26,1,1,24,0,3,1,0.252,0.356,0.368,0.724,0.334,102.2,0.94
2019,롯데,10,제이콥 윌슨,0.987666667,40000,0,29,3B,68,268,231,21,58,15,0,9,100,37,0,2,31,5,0,60,8,0,1,0.251,0.351,0.433,0.784,0.361,118.4,1.35
2019,LG,4,토미 조셉,0.99,70000,0,28,1B,55,217,197,17,54,3,0,9,84,36,0,1,14,4,0,46,3,0,2,0.274,0.332,0.426,0.758,0.347,115.6,0.91
2019,LG,4,카를로스 페게로,0.989333333,15000,0,32,1B,52,214,199,24,57,10,0,9,94,44,2,1,12,2,0,63,2,0,1,0.286,0.332,0.472,0.804,0.364,127.3,1.22
2019,NC,5,크리스티안 베탄코트,0.932666667,50000,0,28,RF,53,224,203,23,50,8,0,8,82,29,1,1,18,1,0,51,1,0,2,0.246,0.308,0.404,0.712,0.326,93.5,0.51
2019,NC,5,제이크 스몰린스키,0.979,50000,0,30,RF,55,228,205,32,47,14,1,9,90,42,3,1,16,5,0,31,7,0,2,0.229,0.298,0.439,0.737,0.332,98.5,0.64
2020,키움,5,테일리 모터,0.955,35000,0,31,3B,10,37,35,4,4,0,0,1,7,3,0,0,1,0,0,10,0,0,1,0.114,0.135,0.2,0.335,0.149,-24.6,-0.43
