영문이름,이름,재계약,Season,Age,Pitches,Batted Balls,Barrels,Barrel%,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBACON,HardHit%,HardHit%,K%,BB%
José Pirela,호세 피렐라,1,2019,29,89,15,2,13.3,8.3,86.5,105.5,22.8,26.7,0.181,0.388,0.262,0.272,0.344,33.3,29.2,8.3
Robel García,로벨 가르시아,0,2021,28,453,66,1,1.5,0.9,86.5,107.8,14.3,19.7,0.185,0.238,0.194,0.224,0.303,33.3,35.9,6.8
yasiel puig,야시엘 푸이그,1,2019,28,2247,426,39,9.2,6.4,90,114.4,13.8,30,0.256,0.451,0.33,0.328,0.388,39.1,21.8,7.2
Kevin Cron,케빈 크론,0,2020,27,82,10,0,0,0,86.9,105.5,37.8,20,0.109,0.167,0.108,0.206,0.197,20,35,5
Juan Lagares,후안 라가레스,0,2021,32,1237,238,16,6.7,4.9,90.6,112.2,8.8,34.9,0.244,0.373,0.274,0.282,0.351,42.9,23.2,3.7
Nick Martini,닉 마티니,0,2021,31,193,29,2,6.9,4.4,89.3,106.4,19.5,44.8,0.27,0.407,0.287,0.326,0.376,41.4,22.2,13.3
DJ Peters,DJ 피터스,0,2021,25,902,144,16,11.1,6.7,87.5,112.5,16.4,30.6,0.199,0.376,0.272,0.273,0.4,38.9,34.2,5
Zach Reks,잭 레스,1,2021,28,160,27,0,0,0,87.1,105.3,18.7,33.3,0.187,0.265,0.189,0.194,0.317,40.7,38.6,0
Sócrates Brito,소크라테스 브리토,1,2019,26,165,22,1,4.5,2.3,88,106.3,-2.1,22.7,0.176,0.26,0.14,0.235,0.333,40.9,39.5,9.3
Mike Tauchman,마이크 터크먼,1,2021,30,870,109,6,5.5,3.1,87.5,107.7,10,36.7,0.196,0.304,0.26,0.276,0.331,35.8,30.4,12
Guillermo Heredia,기예르모 에레디아,,2022,31,347,44,5,11.4,6.1,86,107.3,14.6,38.6,0.16,0.289,0.246,0.228,0.331,31.8,39,7.3
Austin Dean,오스틴 딘,,2021,27,170,21,1,4.8,2.6,87.4,107.1,5.1,33.3,0.193,0.311,0.32,0.29,0.327,33.3,28.9,15.8
Jason Martin,제이슨 마틴,,2021,25,608,105,8,7.6,5.2,87.5,108.1,11.4,33.3,0.226,0.38,0.26,0.28,0.359,33.3,26.6,5.2
Jose Rojas,호세 로하스,,2022,29,228,37,1,2.7,1.8,84.8,107,27.9,21.6,0.167,0.231,0.134,0.182,0.264,32.4,33.3,0
Brian O'Grady,브라이언 오그레디,,2021,29,272,36,2,5.6,3.3,89.6,106,21.5,22.2,0.197,0.344,0.265,0.293,0.344,44.4,27.9,13.1
