last_name, first_name,player_id,year,player_age,b_total_pa,b_k_percent,b_bb_percent,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,pitch_count,batted_ball,
Beltre, Adrian,134181,2017,38,389,13.4,10.0,.283,.466,.384,.358,.362,.182,86.7,12.5,36.1,17,5.8,32.5,97.066970274,4.551073116,1578,294,
Beltran, Carlos,136860,2017,40,509,20.0,6.5,.229,.369,.283,.284,.284,.139,87.3,13.4,29.4,17,4.6,31,97.251447204,4.65384752,1928,371,
Werth, Jayson,150029,2017,38,289,23.9,12.1,.237,.427,.311,.329,.332,.190,88.1,14.2,33.2,15,8.2,40.7,99.99257989,6.104058462,1302,184,
Suzuki, Ichiro,400085,2017,43,215,16.3,7.9,.225,.293,.287,.262,.291,.068,80.1,5,26.5,1,0.6,11.8,91.598763125,2.048241006,866,162,
Martinez, Victor,400121,2017,38,435,14.5,8.3,.264,.440,.303,.334,.334,.176,88.7,13.3,37.8,18,5.4,34.5,97.368559939,4.850434465,1656,331,
Utley, Chase,400284,2017,38,353,16.1,9.1,.241,.402,.316,.321,.329,.161,86.9,11,36.9,11,4.3,28.5,96.307610079,4.209325697,1353,255,
Pujols, Albert,405395,2017,37,636,14.6,5.8,.262,.444,.286,.316,.305,.182,88.7,13.5,31.9,27,5.4,39.2,99.285027729,5.741547151,2486,504,
Holliday, Matt,407812,2017,37,427,26.7,10.8,.232,.435,.320,.333,.324,.203,89.9,11.8,31.4,27,10.2,44.3,102.453641742,7.397737235,1733,264,
Mauer, Joe,408045,2017,34,597,13.9,11.1,.308,.469,.349,.368,.387,.161,90.6,6.2,35.7,20,4.5,46.3,99.765368281,6.505396871,2601,445,
Cabrera, Miguel,408234,2017,34,529,20.8,10.2,.282,.521,.313,.370,.359,.239,91.1,12.4,41.7,38,10.5,48.2,101.694912597,7.468080194,2045,362,
Gonzalez, Adrian,408236,2017,35,252,17.1,6.3,.240,.390,.275,.289,.286,.150,87.4,14.1,38,7,3.6,30.7,96.768438021,4.434309167,895,192,
Phillips, Brandon,408252,2017,36,604,12.1,3.5,.272,.380,.316,.300,.308,.108,84.6,8.2,31.1,12,2.4,25.1,95.331401585,3.737077703,2108,502,
Reyes, Jose,408314,2017,34,561,14.1,8.9,.242,.351,.312,.293,.313,.108,84.3,15.8,32.8,11,2.6,24.2,94.454647109,3.42633867,2074,430,
Mathis, Jeff,425772,2017,34,203,30.0,6.9,.209,.308,.262,.255,.272,.099,87,12.3,36.5,2,1.6,23.8,96.07254127,4.0685608,748,126,
Choo, Shin-Soo,425783,2017,34,636,21.1,12.1,.269,.475,.339,.366,.367,.206,88.7,7.9,36.1,36,8.6,37.8,99.32635,5.783161845,2545,418,
Rivera, Rene,425784,2017,33,237,29.5,5.9,.251,.456,.310,.320,.305,.205,87.3,15.2,38,16,10.7,36,98.731551081,5.365775541,875,150,
Molina, Yadier,425877,2017,34,543,13.6,5.2,.272,.462,.316,.330,.316,.189,87.9,14.5,35.2,26,5.9,35,97.479471767,4.916483,1998,437,
Cano, Robinson,429664,2017,34,648,13.1,7.6,.294,.486,.334,.355,.352,.192,90.3,7.5,33.9,32,6.3,44,101.09943898,6.796904086,2315,510,
Encarnacion, Edwin,429665,2017,34,669,19.9,15.5,.266,.530,.373,.389,.387,.264,89.2,16.8,36.4,44,10.3,42.5,100.818156901,6.516538662,2870,426,
