last_name, first_name,player_id,year,player_age,b_total_pa,b_k_percent,b_bb_percent,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,pitch_count,batted_ball,
Solano, Donovan,456781,2022,34,304,20.1,6.3,.268,.393,.319,.315,.325,.125,88.3,10.7,36.1,13,5.9,41.2,98.956029815,5.601690602,1189,219,
McCutchen, Andrew,457705,2022,35,580,21.4,9.8,.252,.406,.309,.325,.329,.155,89.1,13.2,36.2,34,8.6,40,99.92693269,6.143160838,2364,395,
Turner, Justin,457759,2022,37,532,16.7,9.4,.267,.427,.343,.339,.343,.160,89.5,18.4,40.6,31,8,40.6,99.002545648,5.736858523,2144,387,
Votto, Joey,458015,2022,38,376,25.8,11.7,.218,.390,.310,.322,.331,.172,89.7,14.2,32.9,25,11.1,41.3,100.424827857,6.43276435,1505,225,
Andrus, Elvis,462101,2022,33,577,15.9,6.8,.245,.360,.310,.293,.300,.114,87.9,11.9,29.1,20,4.5,34.8,98.336003699,5.236647643,2252,443,
Santana, Carlos,467793,2022,36,506,17.4,14.0,.251,.435,.308,.350,.359,.185,90.7,15.5,31,32,9.3,44.7,100.924953801,6.808456422,2066,345,
Belt, Brandon,474832,2022,34,298,27.2,12.4,.215,.412,.303,.326,.328,.197,88.4,23.4,38.5,22,12.6,38.5,99.264489048,5.872087679,1194,174,
Lowrie, Jed,476704,2022,38,184,21.2,8.2,.197,.281,.230,.247,.264,.085,86.2,16.3,26.9,4,3.1,30.8,96.195900923,4.129717519,727,130,
Brantley Jr., Michael,488726,2022,35,277,10.8,11.2,.309,.465,.345,.374,.390,.156,89.6,10.7,38.1,13,6,44.5,99.647307115,6.236793237,1006,215,
Gurriel, Yuli,493329,2022,38,584,12.5,5.1,.239,.319,.285,.271,.286,.079,88.3,14.8,30.1,9,1.9,35.7,98.29646,5.271100128,2116,475,
Rojas, Miguel,500743,2022,33,507,12.0,5.1,.264,.347,.268,.293,.310,.083,86.1,10.1,33.1,8,1.9,27.1,96.249960631,4.126001845,1816,414,
Escobar, Eduardo,500871,2022,33,542,23.8,7.4,.243,.427,.311,.314,.300,.183,88.3,20.6,38.7,35,9.4,37.6,99.290072903,5.799689784,2089,372,
Adrianza, Ehire,501303,2022,32,110,22.7,10.0,.216,.281,.222,.269,.302,.065,84.7,12.2,28.8,1,1.4,22.5,95.112848571,3.64903,422,73,
Pham, Tommy,502054,2022,34,622,26.8,9.0,.238,.383,.304,.311,.315,.145,92.2,7.7,33.2,31,7.9,48.5,102.514437436,7.778101436,2505,392,
Martinez, J.D.,502110,2022,34,596,24.3,8.7,.259,.467,.343,.348,.331,.208,89.1,14.2,41.5,48,12.2,41.6,100.923726856,6.69922799,2389,393,
Goldschmidt, Paul,502671,2022,34,651,21.7,12.1,.261,.482,.419,.367,.357,.221,90.8,15.7,31.8,49,11.6,47.4,102.244608246,7.440152299,2701,424,
Gonzalez, Marwin,503556,2022,33,207,26.1,6.8,.217,.345,.257,.282,.286,.128,88,19.4,34.1,8,5.9,37.3,98.901115758,5.629768931,822,135,
Altuve, Jose,514888,2022,32,604,14.4,10.9,.270,.443,.397,.355,.363,.172,85.9,16.1,35.4,34,7.7,29.7,97.289103239,4.663544776,2308,441,
Hernandez, Cesar,514917,2022,32,617,18.5,7.3,.248,.330,.283,.291,.313,.081,84.9,9.1,33.3,11,2.4,29.8,96.493297917,4.267184861,2368,451,
Segura, Jean,516416,2022,32,387,15.0,6.5,.254,.363,.320,.303,.316,.109,87.6,4.3,28.3,13,4.4,38.4,99.507672313,5.804578639,1406,297,
Marte, Starling,516782,2022,33,505,19.2,5.1,.276,.428,.355,.336,.332,.153,86.8,7.5,38.5,25,6.8,33.9,99.153544837,5.595179373,1920,369,
Culberson, Charlie,518586,2022,33,124,25.0,4.0,.226,.303,.281,.251,.258,.077,85.3,5.9,28.4,1,1.1,27.3,95.647602143,3.889355952,439,88,
d'Arnaud, Travis,518595,2022,33,426,21.1,4.5,.247,.412,.343,.313,.300,.166,88.5,11.8,35,26,8.5,38.9,99.567378882,5.920566898,1633,306,
Donaldson, Josh,518626,2022,36,546,27.1,9.9,.215,.370,.302,.299,.303,.154,90.7,12,34.8,33,9.8,43.3,100.977600417,6.867949761,2176,336,
Freeman, Freddie,518692,2022,32,708,14.4,11.9,.313,.538,.393,.403,.400,.225,91.3,13.6,42.9,51,9.9,47.8,100.761588016,7.094269494,2755,517,
Grandal, Yasmani,518735,2022,33,376,21.0,12.0,.217,.319,.263,.290,.317,.102,90,12.1,30,12,4.8,40,99.46926856,6.06261824,1573,250,
Heyward, Jason,518792,2022,32,151,21.2,7.3,.218,.322,.253,.278,.290,.105,87.6,13.1,26.7,5,4.8,38.1,99.795272642,5.960513048,558,105,
LeMahieu, DJ,518934,2022,33,541,13.1,12.4,.274,.403,.329,.344,.369,.130,89.2,3,32.8,21,5.3,41.1,99.499628485,6.048075494,2152,399,
Moustakas, Mike,519058,2022,33,285,26.3,8.4,.195,.307,.286,.270,.281,.112,87.6,19.4,36.1,11,6.1,33.9,98.852222556,5.461727111,1150,180,
Rizzo, Anthony,519203,2022,32,548,18.4,10.6,.239,.454,.352,.349,.350,.215,89.4,19.3,34.2,40,10.9,41,99.618112951,6.120579288,2112,366,
Romine, Austin,519222,2022,33,136,33.8,2.9,.159,.248,.193,.195,.190,.090,87.2,9.5,22.4,4,4.7,33.3,98.519493659,5.285298415,516,85,
Stanton, Giancarlo,519317,2022,32,452,30.3,11.1,.240,.477,.327,.351,.328,.236,95,10.8,26.9,51,19.3,52.3,107.816149318,10.594697985,1841,264,
Vogt, Stephen,519390,2022,37,191,24.1,8.9,.211,.350,.249,.282,.287,.138,87,21,38.9,10,7.9,27.8,96.256857778,4.21418128,714,126,
Perez, Salvador,521692,2022,32,473,23.0,3.8,.245,.473,.324,.326,.285,.228,91.4,17.8,34.8,38,11.2,49,101.468749294,7.293979056,1700,339,
Flores, Wilmer,527038,2022,30,602,17.1,9.8,.233,.370,.312,.310,.322,.137,87.8,20.7,35.7,27,6.3,35.4,97.672013814,4.963528089,2426,429,
Garcia, Avisail,541645,2022,31,380,28.7,4.5,.230,.366,.258,.281,.273,.136,88.7,2.8,27.6,16,6.4,44.8,101.460367339,7.003346734,1367,250,
Bethancourt, Christian,542194,2022,30,333,24.0,3.6,.255,.449,.301,.318,.286,.194,90.1,9.4,31.4,28,11.7,44.8,101.959454237,7.365619619,1106,239,
Ozuna, Marcell,542303,2022,31,507,24.1,6.1,.254,.474,.298,.335,.302,.220,89.3,16.6,31.5,45,12.8,43.8,101.750663678,7.038919741,2023,352,
Villar, Jonathan,542340,2022,31,220,26.8,6.8,.208,.283,.250,.247,.262,.075,89.6,-0.7,24.7,4,2.7,40.4,100.671592429,6.551199137,877,146,
Ortega, Rafael,542364,2022,31,371,19.9,11.9,.241,.346,.305,.307,.334,.104,87.2,17.1,37.6,12,4.8,33.7,97.447746423,4.750083049,1517,250,
Aguilar, Jesus,542583,2022,32,507,23.5,5.5,.240,.393,.288,.298,.288,.153,87.7,19.1,39.7,24,6.9,36,98.459753543,5.301003066,2078,350,
Berti, Jon,542932,2022,32,404,22.0,10.4,.236,.358,.298,.306,.322,.122,88,4.7,30.7,16,5.9,37,98.782159778,5.452015688,1570,270,
Crawford, Brandon,543063,2022,35,458,21.4,8.5,.217,.339,.289,.287,.300,.122,88.1,12.3,31,21,6.7,35.1,97.909462452,5.081156699,1720,313,
Cron, C.J.,543068,2022,32,632,25.9,6.8,.244,.438,.335,.321,.306,.194,88.7,14.2,36.8,45,10.8,42.3,101.410198894,6.867484771,2500,416,
Gomes, Yan,543228,2022,34,293,16.0,2.7,.251,.379,.271,.287,.278,.127,85.3,9.4,37.9,8,3.4,28.9,96.735466466,4.387642035,1006,235,
Grossman, Robbie,543257,2022,32,477,27.0,11.7,.205,.305,.283,.281,.307,.100,86.7,21.1,38.5,10,3.5,30.4,96.176090559,4.129787754,1942,286,
Harrison, Josh,543281,2022,34,425,16.7,4.9,.233,.335,.305,.284,.297,.102,87.4,14.7,32,12,3.8,32.3,96.783559748,4.431292303,1533,319,
Hicks, Aaron,543305,2022,32,453,24.1,13.7,.218,.336,.292,.303,.333,.117,87.9,14.8,25.2,16,5.8,33.1,98.078223577,5.127214322,2017,278,
Higashioka, Kyle,543309,2022,32,248,21.0,4.8,.254,.444,.282,.317,.291,.191,90.9,17.2,36.6,18,9.8,48.1,101.231678333,7.189627056,907,183,
Hosmer, Eric,543333,2022,32,419,15.3,8.8,.258,.379,.313,.311,.327,.120,88.4,3.1,29.3,18,5.7,39.7,101.224912803,6.690963706,1617,317,
McCann, James,543510,2022,32,191,24.1,5.8,.240,.414,.243,.311,.298,.174,90.2,16.3,33.8,9,6.9,40.8,100.237659692,6.399973876,713,130,
Miller, Brad,543543,2022,32,241,29.0,7.5,.205,.344,.263,.269,.264,.139,91.1,14.1,27.5,12,7.8,39.9,100.033437368,6.372039868,914,153,
Nola, Austin,543592,2022,32,397,15.1,8.6,.256,.351,.290,.305,.330,.095,89.4,12,35.4,7,2.4,39.7,98.960360608,5.682414983,1522,297,
Rendon, Anthony,543685,2022,32,193,18.1,11.9,.241,.392,.314,.331,.343,.151,89.6,18.7,42.1,11,8.3,37.6,99.082562576,5.890380153,759,133,
Semien, Marcus,543760,2022,31,724,16.6,7.3,.243,.394,.317,.306,.301,.151,87.3,19.9,32.4,37,6.8,34.9,97.838624343,5.00847117,2776,547,
Springer III, George,543807,2022,32,583,17.2,9.3,.265,.438,.352,.342,.342,.172,88.7,13.9,31.8,35,8.4,42.3,101.320507081,6.768491799,2175,418,
Vazquez, Christian,543877,2022,31,426,16.2,5.2,.262,.375,.312,.301,.306,.113,87.9,10.7,36.1,17,5.1,36.4,97.833724337,4.999999849,1632,332,
Wong, Kolten,543939,2022,31,497,17.7,9.3,.235,.353,.336,.305,.327,.118,87,14,33.5,19,5.4,35.5,97.674374503,4.864768387,2049,349,
Gregorius, Didi,544369,2022,32,232,15.5,5.6,.237,.327,.251,.275,.288,.091,84.5,15.8,33.3,5,2.8,22.8,94.452718539,3.340268249,827,180,
Garcia, Leury,544725,2022,31,315,20.6,2.2,.233,.325,.221,.258,.258,.092,87,6.2,30,10,4.2,35.6,97.781782479,4.939701197,1155,240,
Vargas, Ildemaro,545121,2022,30,222,10.4,3.6,.227,.305,.302,.255,.265,.078,87,7.4,28.2,4,2.1,29.3,96.943626739,4.531312459,794,188,
Grichuk, Randal,545341,2022,30,538,23.6,4.5,.229,.370,.315,.281,.271,.141,90,8.7,27.3,26,6.8,43.6,101.601495926,7.066145714,1977,381,
Stassi, Max,545358,2022,31,375,29.9,10.1,.180,.325,.258,.266,.268,.145,88.6,9.5,26,21,9.4,39.5,98.972653514,5.67534181,1436,223,
Trout, Mike,545361,2022,30,499,27.9,10.8,.265,.583,.418,.395,.354,.317,91.6,24.6,37.7,59,19.7,51,104.135929733,8.5588815,2105,300,
Herrera, Odubel,546318,2022,30,197,21.3,5.6,.225,.348,.287,.272,.268,.123,86.9,4,24.3,7,4.9,37.5,99.933778143,6.012093741,737,144,
Almora Jr., Albert,546991,2022,28,235,19.6,7.2,.233,.307,.279,.270,.292,.075,84,6.7,29.8,3,1.8,25.4,95.828660964,3.938692242,846,171,
Harper, Bryce,547180,2022,29,426,20.4,10.8,.288,.527,.369,.380,.369,.238,92.1,11.8,37.2,37,12.8,47.9,102.954593636,8.099964685,1594,290,
Abreu, Jose,547989,2022,35,679,16.2,9.1,.296,.486,.361,.373,.372,.190,92.2,8,34.5,47,9.5,51.8,102.953606518,8.20270568,2730,495,
Diaz, Elias,553869,2022,31,381,21.5,6.6,.222,.339,.284,.274,.278,.117,88.4,11.1,28.3,16,5.9,39.3,100.058292985,6.204058315,1445,272,
Narvaez, Omar,553882,2022,30,296,19.3,9.8,.207,.293,.269,.268,.294,.087,84.7,17.7,36.7,5,2.4,18.4,94.078356176,3.054216305,1182,207,
Suarez, Eugenio,553993,2022,30,629,31.2,11.6,.219,.454,.344,.339,.320,.234,89.8,19.9,36.4,52,14.8,43.6,100.7350624,6.686336543,2617,352,
Urshela, Gio,570482,2022,30,551,17.4,7.4,.268,.416,.332,.323,.324,.148,88.9,11.8,38.6,29,7,37.6,99.120552402,5.736875907,2017,412,
Schoop, Jonathan,570731,2022,30,510,21.0,3.7,.228,.338,.245,.268,.267,.111,87,9.7,29.1,18,4.8,38.6,99.967628556,5.993791257,1789,378,
Arenado, Nolan,571448,2022,31,620,11.6,8.4,.266,.445,.381,.339,.335,.180,88.8,21.7,35.4,40,8.2,38.9,99.558566721,5.952810862,2330,489,
Barnhart, Tucker,571466,2022,31,308,24.0,8.1,.201,.264,.253,.244,.269,.063,84.5,10.1,30.3,4,1.9,26,95.275826176,3.655968177,1174,208,
Farmer, Kyle,571657,2022,31,583,17.0,5.7,.258,.380,.309,.311,.320,.122,85.5,12.7,37.7,19,4.4,33.8,97.050252093,4.534027326,2145,435,
Haniger, Mitch,571745,2022,31,247,26.3,8.1,.245,.450,.319,.328,.309,.205,91.9,18.2,31.1,19,11.8,47.2,101.996690741,7.72188441,996,161,
Hernandez, Enrique,571771,2022,30,402,17.7,8.5,.233,.350,.280,.292,.304,.117,87.6,17.3,32.3,17,5.8,34.3,98.600842778,5.378762718,1490,294,
Lamb, Jake,571875,2022,31,111,34.2,9.9,.215,.390,.314,.314,.314,.175,91.5,15,35.6,7,11.9,44.1,100.710084667,6.859118475,453,59,
Maile, Luke,571912,2022,31,206,26.2,9.2,.190,.298,.281,.261,.276,.108,84.6,16.7,32.3,7,5.4,26,95.983834375,4.039526693,821,130,
Muncy, Max,571970,2022,31,565,25.0,15.9,.208,.417,.318,.339,.342,.209,90.3,20.9,34.3,44,13.4,45.6,100.488456196,6.680756043,2436,329,
Myers, Wil,571976,2022,31,286,30.1,7.3,.225,.373,.311,.288,.285,.148,88.5,13,37.6,13,7.3,37.6,98.804888523,5.5431,1160,178,
Naquin, Tyler,571980,2022,31,334,27.8,5.7,.247,.433,.303,.317,.299,.186,90.3,14.4,39.9,21,9.6,40.8,100.892608302,6.925001896,1261,218,
Piscotty, Stephen,572039,2022,31,139,34.5,6.5,.216,.353,.258,.275,.278,.137,90.4,10.4,42.5,5,6.3,46.3,99.744957,6.282117,554,80,
Pollock, AJ,572041,2022,34,527,18.6,6.1,.258,.419,.297,.317,.305,.161,88.8,11.6,32.9,37,9.4,42,100.414319188,6.34853632,1837,395,
Taylor, Michael A.,572191,2022,31,456,23.9,7.7,.223,.358,.297,.289,.288,.135,86.3,12.1,33.5,21,6.8,32.9,98.005175695,5.019305249,1717,310,
Thompson, Trayce,572204,2022,31,255,36.5,12.5,.251,.496,.370,.366,.350,.245,92.2,16.4,45.3,21,16.4,46.9,103.303449063,8.133570313,1138,128,
Voit III, Luke,572228,2022,31,568,31.5,9.7,.222,.434,.311,.322,.306,.212,89.8,18.4,34.6,48,14.7,44.3,101.411871585,6.98573844,2248,327,
Walker, Christian,572233,2022,31,667,19.6,10.3,.257,.484,.346,.359,.343,.227,90,17,33.3,53,11.5,44,101.466371179,7.00141326,2543,459,
Zunino, Mike,572287,2022,31,123,37.4,4.9,.182,.329,.219,.252,.232,.147,91.8,20.8,34.3,6,8.6,41.4,101.818613429,7.463730286,482,70,
Carpenter, Matt,572761,2022,36,154,22.7,12.3,.231,.485,.472,.362,.351,.254,89.8,22.4,41.1,13,13.7,42.1,99.672980435,6.162418352,723,95,
Dickerson, Corey,572816,2022,33,297,16.2,4.0,.264,.371,.303,.293,.297,.108,87.8,10.6,32.8,9,3.8,32.8,97.888667863,5.019717253,1083,235,
Ruf, Darin,573131,2022,35,388,27.1,11.6,.219,.371,.291,.310,.321,.153,89.2,14.8,34.5,20,8.6,40.5,100.481181724,6.46914931,1620,232,
Yastrzemski, Mike,573262,2022,31,558,25.3,10.9,.220,.392,.307,.314,.313,.172,89.9,19.9,36.2,39,11.1,42.5,99.830966069,6.251098237,2349,351,
Contreras, Willson,575929,2022,30,487,21.1,9.2,.256,.463,.357,.364,.362,.207,90.4,8.5,30.2,33,10.5,48.6,103.238284065,8.034015696,1825,315,
Iglesias, Jose,578428,2022,32,467,12.0,3.6,.266,.323,.312,.281,.304,.056,83.8,6,30.6,2,0.5,27.7,95.592199372,3.820181257,1738,386,
Bryant, Kris,592178,2022,30,181,14.9,9.4,.279,.426,.370,.344,.352,.147,85,13.5,31.9,9,6.7,29.6,96.85815,4.461882963,696,135,
Canha, Mark,592192,2022,33,542,17.9,8.9,.245,.362,.343,.323,.351,.117,87.7,10.9,32.2,18,4.9,36.6,98.317698315,5.261380654,2218,369,
Casali, Curt,592200,2022,33,176,28.4,13.6,.189,.325,.295,.289,.309,.136,87.1,25.4,35,6,6,39,98.0141006,5.131572828,783,100,
Castellanos, Nick,592206,2022,30,558,23.3,5.2,.250,.395,.304,.302,.293,.145,87.5,14.6,36.9,26,6.6,35.1,98.393032843,5.293370431,2066,396,
Drury, Brandon,592273,2022,29,568,22.2,6.7,.242,.420,.350,.316,.303,.179,89.1,13.8,34.8,41,10.4,42.2,100.586892132,6.438998321,2242,396,
Gamel, Ben,592325,2022,30,423,23.2,11.3,.244,.372,.308,.316,.335,.128,88.8,11.3,38,17,6.2,37.6,99.298905,5.815298881,1713,274,
Judge, Aaron,592450,2022,30,696,25.1,15.9,.305,.706,.458,.463,.422,.401,95.9,15,39,106,26.5,61.8,107.110072714,11.053359221,2906,400,
Machado, Manny,592518,2022,29,644,20.7,9.8,.264,.447,.382,.338,.338,.183,91.5,16,36.7,44,9.8,49,102.622706786,7.790495526,2371,447,
Moran, Colin,592567,2022,29,128,23.4,12.5,.233,.383,.300,.318,.328,.150,90.4,10.3,30.5,7,8.5,39,99.499238293,6.098082593,530,82,
Pederson, Joc,592626,2022,30,433,23.1,9.7,.266,.502,.373,.367,.348,.236,93.2,14.8,34.2,43,15.1,52.1,103.347393857,8.58467276,1685,284,
Realmuto, J.T.,592663,2022,31,562,21.2,7.3,.275,.463,.354,.351,.342,.188,90.3,13.1,35.6,44,11.3,47.2,101.252893641,7.157569177,2193,390,
Renfroe, Hunter,592669,2022,30,522,23.2,7.5,.240,.438,.347,.323,.303,.199,90.5,17.7,32.7,39,10.9,43.6,101.645981292,7.173188394,2027,358,
Rosario, Eddie,592696,2022,30,270,25.2,6.3,.200,.318,.258,.250,.249,.118,87.7,15.2,32.4,10,5.4,33,97.161292527,4.836894341,1010,185,
Yelich, Christian,592885,2022,30,671,24.1,13.1,.258,.404,.328,.339,.360,.146,91.5,3.6,30.3,34,8.2,48.6,102.984892126,8.020852446,2747,416,
Merrifield, Whit,593160,2022,33,550,15.5,6.9,.240,.356,.294,.288,.292,.116,87.1,15.1,37.9,18,4.2,31.1,96.383459857,4.27510481,2017,427,
Bogaerts, Xander,593428,2022,29,631,18.7,9.0,.258,.382,.363,.322,.338,.124,88.1,10.1,29.8,29,6.5,39.2,99.930557727,6.066704123,2500,446,
Alberto, Hanser,593643,2022,29,159,15.7,1.9,.216,.304,.270,.234,.231,.088,82.9,10.8,30.5,2,1.5,18.3,93.791635156,3.008477165,521,131,
Polanco, Jorge,593871,2022,28,445,21.3,14.4,.248,.451,.333,.358,.361,.203,89,21.7,37.7,29,10.2,38.7,99.924839571,6.156301183,1900,284,
Calhoun, Kole,594777,2022,34,424,32.1,6.4,.223,.382,.260,.294,.284,.158,90.8,15.4,40.4,25,9.8,48.2,100.862031797,6.921499922,1700,255,
Duvall, Adam,594807,2022,33,315,32.1,6.7,.210,.396,.295,.295,.275,.186,88.4,23.5,36.2,24,12.8,41.1,100.600796022,6.387987676,1220,188,
Kiermaier, Kevin,595281,2022,32,221,27.6,6.3,.250,.388,.286,.305,.301,.138,87.9,5.3,33.8,10,6.9,38.6,98.886186164,5.570432966,831,145,
Alfaro, Jorge,595751,2022,29,274,35.8,4.0,.238,.397,.291,.295,.278,.160,89.4,8,38.5,18,11.2,38.5,102.020939625,7.196380755,1008,161,
Profar, Jurickson,595777,2022,29,658,15.7,11.1,.251,.359,.320,.315,.340,.108,87.5,12.9,34.7,19,4,34.3,97.859468559,4.98708518,2790,478,
Baez, Javier,595879,2022,29,590,24.9,4.4,.230,.378,.291,.285,.272,.149,87.9,9.6,29.7,33,8,38,99.689131182,5.890376232,2092,411,
Cave, Jake,595909,2022,29,177,27.7,6.2,.213,.395,.278,.285,.261,.182,90.7,14.4,38.5,12,10.3,42.7,99.526718814,6.448232906,710,117,
Hedges, Austin,595978,2022,29,338,23.1,7.4,.180,.261,.225,.238,.257,.081,84.2,16.7,31.9,7,3.1,22.3,94.912102385,3.52196977,1274,229,
Lindor, Francisco,596019,2022,28,706,18.8,8.4,.254,.427,.342,.331,.326,.173,89.3,13.8,29.2,42,8.3,41.3,99.740565418,6.14308743,2829,504,
Odor, Rougned,596059,2022,28,472,23.1,6.8,.205,.337,.278,.275,.278,.132,87.7,21.6,29.6,21,6.5,33.2,98.217178636,5.244508306,1761,321,
Slater, Austin,596103,2022,29,325,27.4,12.3,.259,.429,.344,.351,.363,.170,89,6.6,43.2,20,10.5,39.5,99.908713548,6.170847514,1326,190,
Story, Trevor,596115,2022,29,396,30.8,8.1,.221,.397,.316,.301,.290,.176,88.9,17.8,36,27,11.3,40.6,100.613635333,6.400984812,1575,239,
Stubbs, Garrett,596117,2022,29,121,24.8,11.6,.207,.299,.355,.275,.300,.092,85.2,15.2,33.8,4,5.2,27.3,96.098752571,4.112040145,505,77,
Vogelbach, Daniel,596129,2022,29,461,24.7,15.8,.235,.421,.349,.347,.359,.186,89.3,15.8,37.7,28,10.3,39.5,99.73355163,6.030605407,2102,273,
Sanchez, Gary,596142,2022,29,471,28.9,8.5,.220,.439,.290,.321,.298,.218,90.5,14,29.2,39,13.5,49.3,103.200555347,8.181078537,1881,288,
Kepler, Max,596146,2022,29,446,14.8,11.0,.266,.412,.298,.338,.353,.146,89.1,11.2,31.9,23,7.1,39.9,100.09058546,6.217393221,1656,326,
Franco, Maikel,596748,2022,29,388,19.3,3.1,.243,.351,.261,.272,.270,.108,87,11.5,33.1,14,4.7,34.4,98.818458378,5.432468176,1418,299,
Choi, Ji Man,596847,2022,31,419,29.4,13.8,.236,.413,.322,.337,.347,.177,92.2,10.6,37.3,28,11.9,47.5,101.295507712,7.335577574,1840,236,
Bradley Jr., Jackie,598265,2022,32,370,20.8,6.5,.223,.330,.252,.268,.273,.107,87.6,7.4,29.4,13,4.8,37.2,98.071881353,5.116593208,1387,269,
La Stella, Tommy,600303,2022,33,195,15.4,5.6,.232,.329,.277,.267,.276,.097,87.9,14.6,37.3,3,2,32,97.045650909,4.615035294,794,153,
Candelario, Jeimer,600869,2022,28,467,23.3,6.0,.228,.379,.277,.292,.284,.152,87.2,13.5,37,27,8.3,34.6,98.352499379,5.27808162,1739,324,
Daza, Yonathan,602074,2022,28,408,14.2,6.4,.282,.351,.323,.308,.333,.070,84.8,4.6,34.1,6,1.9,25,95.180250189,3.627182587,1536,320,
Urias, Ramon,602104,2022,28,445,22.0,6.7,.250,.420,.313,.320,.309,.170,89.4,11,32.1,30,9.6,46.5,100.690244675,6.67897342,1645,312,
Anderson, Brian,605119,2022,29,383,26.4,9.7,.229,.379,.293,.309,.317,.150,88.7,7.7,31.1,23,9.7,42,100.372461008,6.372032152,1543,238,
Barnes, Austin,605131,2022,32,212,17.5,12.7,.210,.329,.315,.298,.323,.118,87.4,13.6,31,7,4.8,35.2,98.048094085,5.029970704,850,145,
Bell, Josh,605137,2022,29,647,15.8,12.5,.272,.423,.344,.349,.369,.152,88.9,8.6,30.5,33,7.2,40.9,100.585711062,6.521906608,2505,456,
Betts, Mookie,605141,2022,29,639,16.3,8.6,.254,.465,.373,.344,.327,.211,90.5,18.6,36.2,46,9.7,44.9,99.954466043,6.497072751,2428,472,
Caratini, Victor,605170,2022,28,314,21.3,9.9,.233,.350,.289,.309,.332,.117,89.4,6.6,30,13,6.3,43.5,100.649286408,6.496842039,1246,207,
Davis, J.D.,605204,2022,29,365,33.4,10.7,.245,.471,.333,.353,.338,.227,92.4,12.3,34.8,32,16.2,56.1,103.966730202,8.76614,1486,198,
Garcia, Aramis,605244,2022,29,115,29.6,2.6,.212,.314,.228,.247,.246,.102,87.5,19.6,35.5,2,2.6,36.8,98.567163784,5.291404595,449,76,
Machin, Vimael,605353,2022,28,253,18.6,9.9,.243,.343,.268,.301,.323,.100,89.3,10.2,36.3,7,3.9,39.1,98.588009667,5.53259419,1002,179,
Perez, Michael,605421,2022,29,132,24.2,7.6,.205,.359,.228,.276,.266,.154,88.8,18.3,35.6,7,7.8,36.7,98.192780667,5.304814719,492,90,
Zimmer, Bradley,605548,2022,29,117,38.5,4.3,.138,.268,.203,.225,.220,.130,87,10.5,21.3,7,11.5,34.4,99.040262143,5.699233818,439,61,
Castro, Harold,605612,2022,28,443,17.8,3.8,.275,.423,.297,.316,.305,.148,87,11.4,41.6,21,6.1,33.3,97.109259586,4.622759201,1660,346,
Arcia, Orlando,606115,2022,27,234,21.8,9.0,.253,.421,.321,.329,.327,.168,90.7,11.7,30,12,7.5,42.5,100.210780633,6.636873734,920,160,
