last_name, first_name,player_id,year,player_age,b_total_pa,b_k_percent,b_bb_percent,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,pitch_count,batted_ball,
Pujols, Albert,405395,2022,42,351,15.7,8.0,.262,.499,.380,.365,.343,.237,91.2,16.4,34.5,31,12,47.3,102.064436899,7.425491822,1385,258,
Cabrera, Miguel,408234,2022,39,433,23.3,6.5,.234,.331,.275,.275,.290,.096,89.9,5,35.2,14,4.7,38.2,99.360961867,5.99969786,1643,301,
Molina, Yadier,425877,2022,39,270,14.8,1.9,.230,.328,.235,.254,.251,.098,84.7,16.9,34.1,7,3.1,26,95.0195225,3.560423363,986,223,
Cano, Robinson,429664,2022,39,104,24.0,3.8,.209,.299,.169,.237,.239,.090,88.2,5.8,29.3,3,4,41.3,100.261988108,6.247323243,382,75,
Suzuki, Kurt,435559,2022,38,159,18.2,9.4,.191,.281,.254,.255,.276,.090,85.2,24.1,31,4,3.5,26.5,95.157941429,3.58600375,593,113,
Cruz Jr., Nelson,443558,2022,41,507,23.5,9.7,.240,.397,.292,.319,.322,.158,90.9,7.2,27.7,31,9.3,46.1,102.299247178,7.471373436,1992,332,
Peralta, David,444482,2022,34,490,23.3,8.4,.249,.399,.315,.313,.318,.150,90.3,15.1,35,28,8.5,44.4,101.233296566,6.9223429,1830,331,
Escobar, Alcides,444876,2022,35,131,24.4,3.8,.210,.264,.242,.233,.252,.054,81.8,15.7,39.1,1,1.1,17.4,92.492630217,2.550370549,510,92,
Longoria, Evan,446334,2022,36,298,27.9,9.1,.233,.437,.330,.324,.309,.204,91.1,18.2,33.3,23,12.4,46.8,101.592486559,7.291511667,1187,186,
Blackmon, Charlie,453568,2022,35,577,18.9,5.5,.256,.376,.317,.301,.308,.120,86.2,12.4,36.7,19,4.4,30.6,97.426435333,4.732128429,2085,428,
Maldonado, Martin,455117,2022,35,379,30.6,5.8,.179,.322,.264,.252,.243,.143,88.4,14.7,31.2,19,8.1,39.9,98.873665614,5.552152335,1504,234,
Chirinos, Robinson,455139,2022,38,220,30.5,8.6,.168,.281,.251,.245,.255,.113,84.8,17.6,30.8,9,6.9,33.1,97.472003281,4.774084488,853,130,
Cain, Lorenzo,456715,2022,36,156,23.1,5.1,.200,.253,.212,.230,.250,.053,87.9,3.8,21.8,0,0,36.4,99.010785455,5.632816636,623,110,
