last_name, first_name,player_id,year,player_age,b_total_pa,b_k_percent,b_bb_percent,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,pitch_count,batted_ball,
Ortiz, David,120074,2016,40,626,13.7,12.8,.312,.641,.419,.430,.403,.329,93.2,16.9,39.3,71,15.5,47.2,103.045533739,8.143183874,2479,458,
Rodriguez, Alex,121347,2016,40,243,27.6,5.8,.217,.395,.258,.287,.267,.178,89.8,10.7,25.5,12,7.5,38.5,100.783814125,6.587311938,915,161,
Beltre, Adrian,134181,2016,37,640,10.3,7.5,.290,.509,.371,.366,.350,.219,90.1,14.5,34.2,44,8.5,40.4,99.676160388,6.135210872,2443,520,
Beltran, Carlos,136860,2016,39,593,17.0,5.9,.268,.434,.358,.320,.314,.165,90.1,12.6,32.5,31,6.8,38.5,100.288108,6.247053333,2188,455,
Werth, Jayson,150029,2016,37,606,22.9,11.7,.247,.422,.327,.337,.343,.174,91.4,15,31.9,29,7.4,44.6,101.514039895,7.15487147,2785,392,
Pierzynski, A.J.,150229,2016,39,259,11.2,2.3,.247,.346,.236,.269,.274,.099,87.5,7.4,31.2,4,1.8,33.9,97.258158899,4.682177143,825,221,
Rollins, Jimmy,276519,2016,37,166,19.9,9.6,.204,.284,.277,.254,.280,.080,84.7,11.2,30.8,2,1.7,17.1,92.472097586,2.443254,691,117,
Uribe, Juan,346874,2016,37,259,18.9,5.8,.265,.419,.256,.323,.317,.154,88.1,10.1,30.2,14,7.3,37.5,99.586699063,5.803070469,933,192,
Suzuki, Ichiro,400085,2016,42,365,11.5,8.2,.264,.331,.320,.297,.332,.067,84.2,7.4,36.2,2,0.7,20,93.712066761,2.971439859,1448,290,
Martinez, Victor,400121,2016,37,610,14.8,8.2,.286,.506,.351,.364,.349,.221,90,15.5,37.8,39,8.4,42.1,99.515406052,6.050070323,2316,466,
Utley, Chase,400284,2016,37,565,20.4,7.1,.258,.383,.312,.312,.326,.126,87.6,12,35.1,16,4,33.3,97.019714041,4.563539819,2224,399,
Pujols, Albert,405395,2016,36,650,11.5,7.5,.285,.523,.331,.367,.343,.238,91.6,11.7,31.5,48,9.2,44.1,101.520633672,7.107410489,2516,524,
Byrd, Marlon,407781,2016,38,129,29.5,8.5,.243,.395,.328,.305,.307,.153,87.1,17.1,43.8,6,7.5,37.5,97.91343325,5.187412025,496,80,
Holliday, Matt,407812,2016,36,426,16.7,8.2,.266,.470,.335,.353,.342,.205,93.3,8.7,27.6,25,8,47.8,103.751707124,8.458022582,1563,312,
Teixeira, Mark,407893,2016,36,438,24.0,10.7,.221,.403,.287,.309,.309,.182,88.4,12.8,33.1,21,7.4,37.3,98.622615214,5.369596,1780,284,
Mauer, Joe,408045,2016,33,576,16.1,13.7,.281,.449,.327,.357,.381,.168,89.9,3.8,36.5,24,6,42.9,99.073111465,5.903650684,2466,403,
Morneau, Justin,408047,2016,35,218,23.9,5.5,.238,.355,.311,.280,.285,.117,90.2,9.3,37.3,6,3.9,35.9,98.790897895,5.69168125,843,153,
Cabrera, Miguel,408234,2016,33,679,17.1,11.0,.332,.677,.399,.449,.409,.345,93.6,12.3,40.1,77,15.9,50.6,104.209910539,8.808753326,2510,484,
Gonzalez, Adrian,408236,2016,34,633,18.5,8.7,.272,.424,.334,.328,.340,.152,88.2,9.6,38.9,21,4.6,33.7,97.494746222,4.843035333,2394,457,
Phillips, Brandon,408252,2016,35,584,11.6,3.1,.262,.373,.315,.289,.295,.111,86.4,10.3,35.1,13,2.7,25.5,95.874930249,3.938637593,2092,490,
Infante, Omar,408299,2016,34,149,15.4,6.0,.260,.326,.260,.280,.303,.066,85.8,13.7,38.5,0,0,23.1,94.619794821,3.346007589,526,117,
Reyes, Jose,408314,2016,33,279,17.6,8.2,.249,.373,.329,.300,.311,.124,85.2,17.6,33.8,9,4.3,26.1,95.366818447,3.837999024,1067,207,
Ross, David,424325,2016,39,205,26.3,14.6,.226,.440,.326,.335,.345,.214,87.3,16.1,41.3,12,9.9,32.2,97.447824035,4.750668947,851,121,
