last_name, first_name,player_id,year,player_age,b_total_pa,b_k_percent,b_bb_percent,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,pitch_count,batted_ball,
Acuna Jr., Ronald,660670,2021,23,360,23.6,13.6,.295,.603,.412,.429,.409,.308,93.8,18.2,39.6,44,20.3,54.8,105.900401111,9.833230741,1449,217,
Sanchez, Jesus,660821,2021,23,251,31.1,8.0,.244,.479,.339,.337,.314,.235,90.2,8.7,38,19,12.7,42.7,102.065094933,7.253609267,989,150,
Park, Hoy,660829,2021,25,150,25.3,12.0,.216,.340,.279,.292,.315,.124,85.9,15.8,29.3,6,6.5,25,96.297295435,4.211861648,651,92,
Contreras, William,661388,2021,23,185,29.2,10.3,.231,.419,.303,.320,.318,.188,92.5,8.2,28.2,12,10.9,44.5,102.744455741,7.887823981,708,110,
Varsho, Daulton,662139,2021,24,315,21.3,9.5,.248,.430,.322,.323,.320,.182,87.7,18,31.7,16,7.3,39.9,99.81795981,6.023502143,1220,218,
Nootbaar, Lars,663457,2021,23,124,22.6,10.5,.213,.349,.316,.286,.297,.136,89.1,12.1,24.1,4,4.8,36.1,98.497854,5.381708608,472,83,
Hoerner, Nico,663538,2021,24,170,14.7,10.0,.279,.358,.330,.320,.363,.080,87,7.7,31.2,2,1.6,34.4,98.079051129,5.101217984,650,125,
Riley, Austin,663586,2021,24,662,25.4,7.9,.281,.511,.379,.366,.348,.231,90.1,14.2,36.5,57,13.3,45.6,102.871134252,7.650249087,2595,430,
Madrigal, Nick,663611,2021,24,215,7.9,5.1,.263,.328,.335,.289,.313,.064,85.5,1.7,27.7,2,1.1,23.4,95.013567143,3.522681099,809,184,
Larnach, Trevor,663616,2021,24,301,34.6,10.3,.212,.376,.300,.306,.313,.164,90,13.1,34.8,15,9.5,41.1,102.03220038,7.168202975,1211,158,
Mountcastle, Ryan,663624,2021,24,586,27.5,7.0,.245,.457,.335,.326,.303,.212,89.1,16.3,38.9,45,11.8,39.7,100.499725842,6.394270947,2295,380,
McKenna, Ryan,663630,2021,24,197,37.6,12.2,.200,.307,.259,.281,.307,.107,86.5,11.6,40.2,7,7.2,34,98.504334583,5.494540947,836,97,
Hayes, Ke'Bryan,663647,2021,24,396,22.0,7.8,.249,.369,.301,.299,.308,.120,90.2,2.6,27.4,14,5.1,45.8,101.38046971,7.083472,1532,277,
Tucker, Kyle,663656,2021,24,567,15.9,9.3,.303,.576,.383,.396,.369,.272,91.4,17.6,42,49,11.6,47.5,100.838759238,7.0535942,2180,421,
Cameron, Daz,663662,2021,24,115,33.0,8.7,.202,.355,.281,.284,.285,.153,88.7,11.9,36.9,5,7.7,43.1,100.128515152,6.353856154,503,65,
India, Jonathan,663697,2021,24,631,22.3,11.3,.254,.436,.363,.352,.364,.182,87.6,13.1,33.6,38,9.6,38.6,99.492120758,5.903783494,2643,396,
Raleigh, Cal,663728,2021,24,148,35.1,4.7,.179,.292,.231,.227,.224,.113,88,17.1,37.5,6,6.8,35.2,98.941231818,5.489574318,568,88,
Grisham, Trent,663757,2021,24,527,22.6,10.2,.241,.368,.320,.309,.328,.127,88.8,12.3,31,18,5.2,36.8,99.288052118,5.873059115,2168,348,
Stephenson, Tyler,663886,2021,24,402,18.7,10.2,.257,.391,.346,.324,.343,.134,88.4,7.4,36.1,15,5.4,38.2,98.493700286,5.431145484,1577,280,
Williams, Luke,663897,2021,24,108,21.3,9.3,.226,.280,.283,.266,.298,.054,84.7,3.2,24,0,0,25.3,95.456318571,3.996764638,413,75,
Rodgers, Brendan,663898,2021,24,415,20.2,4.6,.253,.414,.341,.311,.300,.161,88.8,6.3,30.5,19,6.2,40.3,100.401677303,6.342929835,1513,305,
Lowe, Nathaniel,663993,2021,25,642,25.2,12.5,.236,.401,.337,.323,.333,.165,90.8,5,31.4,38,9.5,45.5,101.920030352,7.281020854,2691,398,
Happ, Ian,664023,2021,26,535,29.2,11.6,.220,.396,.328,.317,.320,.176,89.5,9.9,30.8,34,10.9,41.3,100.682785163,6.566082557,2250,312,
France, Ty,664034,2021,26,650,16.3,7.1,.270,.435,.353,.346,.353,.165,88.5,11,35.9,32,6.8,38.9,99.630842766,5.91855583,2394,471,
Lowe, Brandon,664040,2021,26,615,27.2,11.1,.248,.496,.363,.358,.343,.248,89.3,17,36.9,51,13.7,42.9,100.844045574,6.683730219,2339,371,
Bader, Harrison,664056,2021,27,401,21.2,6.7,.232,.394,.331,.295,.292,.162,86.2,13.3,27.1,20,7,31.7,98.203918169,5.140672887,1586,284,
Stevenson, Andrew,664057,2021,27,213,28.6,6.1,.241,.372,.276,.299,.307,.132,89.6,8.4,28.4,8,6,44.8,101.036386875,6.811575234,775,134,
Fletcher, David,664058,2021,27,665,9.0,4.7,.272,.320,.273,.280,.307,.048,82.3,8.2,30.4,0,0,15.7,92.661183488,2.514600036,2218,573,
Moore, Dylan,664238,2021,28,377,29.4,10.6,.204,.348,.271,.288,.296,.144,86.5,20.4,33.3,19,8.6,33.3,98.057805046,5.030969495,1608,222,
Garlick, Kyle,664247,2021,29,107,29.9,5.6,.250,.515,.314,.345,.299,.266,88.4,20.1,36.8,9,13.2,41.2,100.363832059,6.411281618,433,68,
Straw, Myles,664702,2021,26,638,19.0,10.5,.256,.333,.311,.303,.336,.077,87.1,11.9,42.6,6,1.3,26.2,95.725614253,3.886357172,2653,448,
Bohm, Alec,664761,2021,24,417,26.6,7.4,.261,.392,.285,.313,.319,.131,92,5.6,33.3,18,6.6,49.5,101.960323162,7.478773173,1673,273,
Wade Jr., LaMonte,664774,2021,27,381,23.4,8.7,.256,.475,.343,.347,.331,.219,90.1,19.8,37.8,27,10.6,41.7,99.91660256,6.305052008,1565,254,
Tom, Ka'ai,664789,2021,27,133,27.1,12.8,.195,.280,.239,.289,.332,.086,84.2,9.5,32,3,4,29.3,97.395898378,4.825507838,548,75,
Zavala, Seby,664874,2021,27,104,39.4,5.8,.145,.291,.265,.219,.206,.146,88,16.2,30.4,5,8.9,34.5,99.0465336,5.754407,420,56,
Mendick, Danny,664901,2021,27,186,22.6,9.7,.202,.274,.268,.260,.290,.072,84.2,13.6,27.4,2,1.6,28.6,96.433140351,4.279606754,762,124,
Brown, Seth,664913,2021,28,307,29.0,7.5,.225,.462,.315,.318,.286,.237,88.9,20.9,33.5,27,13.9,40.2,100.576939794,6.384315773,1218,194,
Walsh, Jared,665120,2021,27,585,26.0,8.2,.256,.434,.357,.326,.322,.178,89.6,7.6,33.6,43,11.3,41.3,101.660333632,6.949250264,2256,381,
Maton, Nick,665155,2021,24,131,29.8,7.6,.226,.337,.309,.281,.296,.112,87.8,17.3,37.5,5,6.3,35,97.738077,4.930671899,512,80,
Tatis Jr., Fernando,665487,2021,22,546,28.0,11.4,.279,.617,.403,.407,.363,.337,93.9,13.8,33.1,70,21.3,55.6,105.698422927,9.793088537,2141,329,
Guerrero Jr., Vladimir,665489,2021,22,698,15.8,12.3,.307,.590,.419,.417,.399,.284,95.1,9.4,33.7,75,15.1,55.2,106.811861538,10.446351968,2509,496,
Soto, Juan,665742,2021,22,654,14.2,22.2,.305,.545,.420,.429,.463,.241,93,5.8,29.7,55,13.3,52.7,104.58028599,9.062348402,2601,414,
Taveras, Leody,665750,2021,22,185,32.4,4.9,.211,.315,.209,.252,.254,.104,87.2,7,28.7,7,6.1,35.7,99.013746,5.699124455,709,115,
Chisholm Jr., Jazz,665862,2021,23,507,28.6,6.7,.238,.409,.312,.307,.295,.171,90.2,9,29,29,9,42,100.832046938,6.723985799,2040,324,
Gimenez, Andres,665926,2021,22,210,25.7,5.2,.211,.319,.277,.268,.277,.108,86.4,8.8,23.2,5,3.6,30.4,97.644551618,4.876778593,819,138,
Kirilloff, Alex,666135,2021,23,231,22.5,6.1,.295,.544,.307,.370,.340,.248,91,7,39,21,12.8,43.9,100.368274756,6.800398049,835,164,
Lux, Gavin,666158,2021,23,381,21.8,10.8,.260,.387,.303,.323,.345,.126,89.8,11.3,34.6,10,3.9,40.2,99.896720315,6.19011626,1441,254,
Adell, Jo,666176,2021,22,140,22.9,5.7,.259,.415,.303,.317,.307,.156,86.3,9.9,28.3,9,9.1,31.3,98.783186327,5.470000408,569,99,
Bichette, Bo,666182,2021,23,690,19.9,5.8,.291,.489,.354,.355,.337,.198,91.4,7.3,33.5,50,9.9,47.5,102.637648103,7.817675415,2609,507,
Carlson, Dylan,666185,2021,22,619,24.6,9.2,.247,.407,.336,.322,.328,.159,88.2,15.1,40.6,28,7,31.1,97.425225408,4.83641898,2530,399,
Kieboom, Carter,666198,2021,23,249,24.9,10.0,.231,.343,.275,.298,.323,.111,85.3,7.4,28.7,6,3.8,36.3,97.870414684,4.966641783,884,157,
Trammell, Taylor,666211,2021,23,178,42.1,9.6,.143,.265,.270,.233,.240,.123,85.9,14.9,30.1,6,7.2,37.3,98.775818537,5.478729259,751,83,
Dalbec, Bobby,666915,2021,26,453,34.4,6.2,.236,.522,.334,.344,.294,.286,92.4,17.3,36.3,53,20.2,48.1,103.531018321,8.182176603,1836,262,
Garcia, Adolis,666969,2021,28,622,31.2,5.1,.220,.422,.314,.299,.267,.202,91,14.7,29.4,45,11.5,45.5,101.116772974,7.023074923,2508,391,
Gurriel Jr., Lourdes,666971,2021,27,541,18.9,5.9,.272,.462,.333,.339,.319,.190,89.7,10.5,35.8,39,9.6,43,100.4470094,6.556565915,2072,405,
Rooker Jr., Brent,667670,2021,26,213,32.9,7.0,.238,.463,.301,.341,.324,.225,91,13.1,37.8,15,12.6,48.7,102.936339333,7.956213445,814,119,
