iter	Passed	Remaining
398	666	1003
399	667	1001
400	669	999
401	671	998
402	672	996
403	673	994
404	675	992
405	676	990
406	678	987
407	679	986
408	681	984
409	683	983
410	684	981
411	686	979
412	687	977
413	689	976
414	691	974
415	692	972
416	694	970
417	695	968
418	696	966
419	698	965
420	700	963
421	702	961
422	703	959
423	704	957
424	706	955
425	708	954
426	709	952
427	711	950
428	712	948
429	713	946
430	715	944
431	717	942
432	718	941
433	720	939
434	721	937
435	722	935
436	724	933
437	725	931
438	727	929
439	729	927
440	730	925
441	731	923
442	733	921
443	734	919
444	736	918
445	737	916
446	739	914
447	740	912
448	742	910
449	743	908
450	745	907
451	746	905
452	748	903
453	749	901
454	750	899
455	752	897
456	754	896
457	755	894
458	757	892
459	758	890
460	760	888
461	761	886
462	763	885
463	765	883
464	766	881
465	767	879
466	769	877
467	770	876
468	772	874
469	774	873
470	775	871
471	777	869
472	778	867
473	779	865
474	797	881
475	799	879
476	801	878
477	802	876
478	804	874
479	805	872
480	806	870
481	808	868
482	810	867
483	812	865
484	813	863
485	814	861
486	816	859
487	817	857
488	819	856
489	821	854
490	822	853
491	824	851
492	825	849
493	826	846
494	828	845
495	830	843
496	831	841
497	833	839
498	834	837
499	835	835
500	837	834
501	839	832
502	840	830
503	842	828
504	843	826
505	844	824
506	846	822
507	847	821
508	849	819
509	850	817
510	852	815
511	853	813
512	855	811
513	856	810
514	858	808
515	859	806
516	861	804
517	862	802
518	863	800
519	865	799
520	867	797
521	868	795
522	870	793
523	871	791
524	872	789
525	874	788
526	876	786
527	877	784
528	879	782
529	880	780
530	881	778
531	883	777
532	885	775
533	886	773
534	888	771
535	889	769
536	890	768
537	892	766
538	894	764
539	895	762
540	896	760
541	898	758
542	899	757
543	900	755
544	902	753
545	904	751
546	905	749
547	907	748
548	908	746
549	909	744
550	911	742
551	913	741
552	914	739
553	915	737
554	917	735
555	918	733
556	920	732
557	922	730
558	923	728
559	924	726
560	926	724
561	927	723
562	929	721
563	931	720
564	933	718
565	934	716
566	935	714
567	937	712
568	939	711
569	940	709
570	942	707
571	943	706
572	945	704
573	946	702
574	948	700
575	950	699
576	951	697
577	953	695
578	954	694
579	955	692
580	957	690
581	959	688
582	960	686
583	961	685
584	963	683
585	964	681
586	966	680
587	967	678
588	969	676
589	970	674
590	972	672
591	973	671
592	975	669
593	977	667
594	978	666
595	979	664
596	981	662
597	982	660
598	984	658
599	986	657
600	988	655
601	989	654
602	990	652
603	992	650
604	994	649
605	996	647
606	997	645
607	998	643
608	1000	642
609	1001	640
610	1003	638
611	1004	637
612	1006	635
613	1007	633
614	1009	631
615	1010	629
616	1012	628
617	1013	626
618	1015	624
619	1016	623
620	1018	621
621	1019	619
622	1021	617
623	1022	616
624	1024	614
625	1025	612
626	1027	611
627	1028	609
628	1030	607
629	1031	606
630	1033	604
631	1034	602
632	1036	600
633	1037	598
634	1039	597
635	1040	595
636	1042	593
637	1043	592
638	1045	590
639	1046	588
640	1048	586
641	1049	585
642	1051	583
643	1052	581
644	1054	580
645	1055	578
646	1056	576
647	1058	575
648	1060	573
649	1061	571
650	1062	569
651	1064	568
652	1065	566
653	1067	564
654	1069	563
655	1071	561
656	1072	559
657	1073	558
658	1075	556
659	1077	554
660	1079	553
661	1080	551
662	1081	549
663	1083	548
664	1084	546
665	1086	544
666	1087	543
667	1089	541
668	1090	539
669	1092	537
670	1093	536
671	1095	534
672	1096	532
673	1098	531
674	1099	529
675	1101	527
676	1102	526
677	1104	524
678	1106	522
679	1107	521
680	1108	519
681	1110	517
682	1111	516
683	1113	514
684	1115	513
685	1117	511
686	1118	509
687	1119	507
688	1121	506
689	1123	504
690	1124	502
691	1126	501
692	1127	499
693	1129	497
694	1130	496
695	1132	494
696	1133	492
697	1135	491
698	1136	489
699	1138	487
700	1139	486
701	1141	484
702	1142	482
703	1144	481
704	1146	479
705	1147	477
706	1148	476
707	1150	474
708	1152	473
709	1154	471
710	1155	469
711	1157	468
712	1158	466
713	1160	464
714	1161	463
715	1163	461
716	1164	459
717	1166	457
718	1167	456
719	1169	454
720	1170	453
721	1172	451
722	1174	449
723	1175	448
724	1177	446
725	1178	444
726	1180	443
727	1181	441
728	1183	439
729	1184	438
730	1186	436
731	1187	434
732	1189	433
733	1190	431
734	1192	429
735	1193	428
736	1194	426
737	1196	424
738	1198	423
739	1199	421
740	1201	419
741	1202	418
742	1204	416
743	1206	415
744	1207	413
745	1209	411
746	1210	410
747	1212	408
748	1213	406
749	1215	405
750	1216	403
751	1218	401
752	1219	400
753	1221	398
754	1222	396
755	1224	395
756	1226	393
757	1227	391
758	1229	390
