iter	Logloss
0	0.6920897192
1	0.6913081659
2	0.6898330291
3	0.6877048691
4	0.6860937198
5	0.6846286323
6	0.6831093338
7	0.6817032655
8	0.6805003471
9	0.6788814465
10	0.6774219884
11	0.6762337353
12	0.6752971676
13	0.6742876622
14	0.6727424847
15	0.6717340403
16	0.6707499888
17	0.6696831743
18	0.6684021513
19	0.6665520085
20	0.6653016739
21	0.6641376999
22	0.6630423215
23	0.6617367811
24	0.6606803536
25	0.6592954543
26	0.6579443892
27	0.65657404
28	0.6552734971
29	0.654118269
30	0.6529514088
31	0.6519956509
32	0.6508065025
33	0.6493359341
34	0.6480231709
35	0.6465603444
36	0.6454137511
37	0.6443709585
38	0.6432905992
39	0.641716463
40	0.6409035815
41	0.639914808
42	0.6387760692
43	0.6375270446
44	0.6365728431
45	0.6353297777
46	0.6338758707
47	0.6326152643
48	0.6314198057
49	0.6302382204
50	0.6290161729
51	0.6273562577
52	0.6257125152
53	0.6247974661
54	0.623621232
55	0.6223573049
56	0.621197825
57	0.6198878937
58	0.618888406
59	0.6176681757
60	0.6165740583
61	0.615351065
62	0.6140031934
63	0.6121807059
64	0.6107772483
65	0.6097255773
66	0.6086636676
67	0.6077060964
68	0.606603078
69	0.6056582371
70	0.6046090007
71	0.6036154946
72	0.6025314503
73	0.6015578972
74	0.6006713059
75	0.5997957627
76	0.5986583008
77	0.5976443476
78	0.596424932
79	0.5951768319
80	0.5941463364
81	0.5933059494
82	0.5921547426
83	0.5912645208
84	0.5903090133
85	0.5892914335
86	0.58825391
87	0.5870792098
88	0.58635029
89	0.5853822072
90	0.5845734371
91	0.5835456173
92	0.5823293818
93	0.5815047357
94	0.580324263
95	0.5792982022
96	0.5785149826
97	0.5777890431
98	0.5770535734
99	0.5761559976
100	0.57527338
101	0.5743285285
102	0.5735863739
103	0.5727494836
104	0.5720298184
105	0.5712541223
106	0.5704612401
107	0.5697038213
108	0.5687900384
109	0.5679519878
110	0.5669397049
111	0.5659240047
112	0.5648574485
113	0.5638365666
114	0.5628566053
115	0.5618739002
116	0.5610734324
117	0.560344702
118	0.5593008631
119	0.5584249689
120	0.557546048
121	0.556620372
122	0.5555976152
123	0.5548839457
124	0.5541515887
125	0.5530846119
126	0.5523727748
127	0.5514207853
128	0.5497788548
129	0.5487083309
130	0.5476470954
131	0.5464893685
132	0.54565734
133	0.5444763296
134	0.5436398301
135	0.5427471565
136	0.5419874887
137	0.5407570733
138	0.5395517713
139	0.5384249025
140	0.5378919144
141	0.5373370707
142	0.5363654017
143	0.53533124
144	0.5347366101
145	0.5340437988
146	0.532931551
147	0.5319579264
148	0.531410153
149	0.5305854268
150	0.5295971599
151	0.5285327852
152	0.5279568732
153	0.527023879
154	0.5264251696
155	0.5255738013
156	0.5248319997
157	0.5237940596
158	0.5230781668
159	0.5221183479
160	0.5214668552
161	0.5205557863
162	0.5198995054
163	0.5195858909
164	0.5187745068
165	0.5181026571
166	0.5174130023
167	0.5167256667
168	0.515778019
169	0.5148103376
170	0.5139506612
171	0.51298012
172	0.511943382
173	0.5110230552
174	0.5101223932
175	0.5092133661
176	0.5084444582
177	0.5072507415
178	0.506330106
179	0.5053457744
180	0.5041313178
181	0.5032239914
182	0.5026694722
183	0.5019884414
184	0.500799295
185	0.4999707262
186	0.4993174275
187	0.4987296383
188	0.4979648113
189	0.4971558717
190	0.4963230451
191	0.495649104
192	0.494651403
193	0.4940448238
194	0.4931995352
195	0.492463439
196	0.4916558166
197	0.4907652881
198	0.4899786068
199	0.4889362805
200	0.4880833103
201	0.4874554886
202	0.4869877126
203	0.4862046772
204	0.4855542633
205	0.4850476073
206	0.4841032843
207	0.4832909664
208	0.4826250494
209	0.4819392814
210	0.4810837593
211	0.48049509
212	0.4795801785
213	0.4788209101
214	0.4780215893
215	0.4774898602
216	0.4769838154
217	0.4763340957
218	0.4752385623
219	0.4746312532
220	0.4741230567
221	0.4734816021
222	0.4726751659
223	0.471880375
224	0.4711745997
225	0.4702378902
226	0.4695037835
227	0.4688741187
228	0.4683016691
229	0.4675801151
230	0.4669416752
231	0.4661282473
232	0.4653805978
233	0.464672229
234	0.4642650538
235	0.4634758565
236	0.4628906065
237	0.4622640305
238	0.4615481615
239	0.4608837684
240	0.4603293233
241	0.4594131867
242	0.458648222
243	0.4581106424
244	0.4576303853
245	0.4571490983
246	0.456624341
247	0.4557246923
248	0.4553105242
249	0.454702282
250	0.4540613386
251	0.4532254663
252	0.4526430686
253	0.4519049247
254	0.4512506929
255	0.4507503523
256	0.450362434
257	0.4497001959
258	0.4490942631
259	0.4480980873
260	0.4473222885
261	0.4467475752
262	0.4460798853
263	0.4454375658
264	0.4447414001
265	0.4437969771
266	0.442975337
267	0.4425021331
268	0.4418123662
269	0.4413514442
270	0.4407197509
271	0.440047331
272	0.4392969429
273	0.4388722731
274	0.4381411175
275	0.4375343263
276	0.4369553414
277	0.4362108356
278	0.4352530393
279	0.4347734279
280	0.4342707607
281	0.433793215
282	0.4333110783
283	0.4325860275
284	0.4318471518
285	0.4310616586
286	0.4305225485
287	0.429923843
288	0.4291370915
289	0.4282509194
290	0.427569545
291	0.4270014591
292	0.426337966
293	0.4256704125
294	0.4250999239
295	0.4248097824
296	0.4245210932
297	0.4237154292
298	0.423229754
299	0.4223956168
300	0.4220500714
301	0.4215393272
302	0.421007112
303	0.420387629
304	0.4197271234
305	0.418991924
306	0.4180709898
307	0.4173784547
308	0.4169451098
309	0.4164021764
310	0.4155441867
311	0.4148996631
312	0.4142439882
313	0.4137428297
314	0.4131924821
315	0.4127183464
316	0.4124199695
317	0.4121058491
318	0.411624823
319	0.4110404147
320	0.4104974131
321	0.4100426031
322	0.4094504946
323	0.4088249405
324	0.4083338943
325	0.4078424242
326	0.4070660207
327	0.4065279444
328	0.4060810606
329	0.4057746404
330	0.4050429569
331	0.4044274317
332	0.403810719
333	0.4031621681
334	0.4024731941
335	0.4018325667
336	0.40115504
337	0.4005382419
338	0.3997433881
339	0.3990751333
340	0.3984265142
341	0.3981879585
342	0.3977389971
343	0.3970211281
344	0.3963352508
345	0.3957782427
346	0.39518938
347	0.3946236637
348	0.3937652257
349	0.3931247645
350	0.3925607575
351	0.3920371016
352	0.3916619804
353	0.3912056426
354	0.3907259266
355	0.3903286318
356	0.3899328762
357	0.3894586451
358	0.3889819496
359	0.3884849403
360	0.3882375161
361	0.3876756383
362	0.3873634239
363	0.3869408098
364	0.3864606811
365	0.3859714104
366	0.3853602436
367	0.3849312849
368	0.3844769643
369	0.3839886785
370	0.3835686233
371	0.3828450402
372	0.3822976973
373	0.3819145739
374	0.3810220732
375	0.380583583
376	0.3801000999
377	0.3796504656
378	0.3790888674
379	0.3783960793
380	0.3778592454
381	0.3773919264
382	0.3768331938
383	0.3764458464
384	0.3759143651
385	0.375514751
386	0.3748992754
387	0.3744076987
388	0.3741415057
389	0.3738148318
390	0.3733051949
391	0.3727717612
392	0.3723048296
393	0.3717548264
394	0.3712295466
395	0.370645933
396	0.3702603115
397	0.3699660089
398	0.3694989608
399	0.3690816376
400	0.3684352696
401	0.3677820146
402	0.3673346122
403	0.3671414468
404	0.3666397697
405	0.3660323395
406	0.3655870484
407	0.3653352787
408	0.365050589
409	0.364624545
410	0.3643605186
411	0.3638727042
412	0.3633925368
413	0.3631978648
414	0.3626808527
415	0.3623798867
416	0.3617270821
417	0.3612418234
418	0.3609153546
419	0.3604033026
420	0.3600424041
421	0.3594641371
422	0.3590699997
423	0.3586320211
424	0.358034373
425	0.3575365338
426	0.3569373664
427	0.3565713094
428	0.3563042899
429	0.3557822896
430	0.3553788149
431	0.3546999037
432	0.3543646044
433	0.3541001101
434	0.3535652803
435	0.3532469759
436	0.3527631925
437	0.3523402873
438	0.352023737
439	0.3513980902
440	0.3510515942
441	0.3508429719
442	0.3502613852
443	0.3498555919
444	0.3492945959
445	0.3486813065
446	0.3482613832
447	0.3479472833
448	0.3477116343
449	0.3471240713
450	0.3467275335
451	0.3462670651
452	0.3456805342
453	0.345183894
454	0.3448272838
455	0.344371547
456	0.3438971142
457	0.3433968094
458	0.3430395272
459	0.3426466478
460	0.3420776622
461	0.3415849149
462	0.3410971973
463	0.3406464934
464	0.3403143641
465	0.3399479081
466	0.3395992753
467	0.3391625216
468	0.3386248877
469	0.3382780575
470	0.3377832899
471	0.3373338163
472	0.3368450145
473	0.3365540038
474	0.3361794339
475	0.3357825696
476	0.3354473617
477	0.3351157602
478	0.3347467459
479	0.3343102992
480	0.333765068
481	0.3334698432
482	0.3331365986
483	0.3327107019
484	0.3323145641
485	0.331882601
486	0.3315620773
487	0.3312111424
488	0.3308993177
489	0.3305595646
490	0.3303298185
491	0.3297604561
492	0.3294689831
493	0.3290224456
494	0.3285472575
495	0.3281563448
496	0.3279537055
497	0.3275739816
498	0.3271867888
499	0.3268161555
500	0.3264857067
501	0.3258727643
502	0.3252397633
503	0.324756474
504	0.3242601845
505	0.3236244089
506	0.3233541869
507	0.3230903781
508	0.3226317167
509	0.3223739747
510	0.3219348851
511	0.3214082205
512	0.320971439
513	0.3205035951
514	0.3202639
515	0.3200457748
516	0.3197101891
517	0.3194422225
518	0.3191123396
519	0.3187923269
520	0.3182753288
521	0.3179205543
522	0.3174591336
523	0.3171754311
524	0.3167231666
525	0.3163097524
526	0.3160164956
527	0.3156076282
528	0.3152534299
529	0.3147894336
530	0.3143775463
531	0.3139518248
532	0.3134951747
533	0.3131148044
534	0.3126810892
535	0.3123713311
536	0.312114003
537	0.3118065311
538	0.3114124086
539	0.3111329817
540	0.3108398474
541	0.3104642189
542	0.309964631
543	0.309672863
544	0.3093303551
545	0.3090373923
546	0.3085887551
547	0.3083064179
548	0.3078532987
549	0.3075622029
550	0.3072403206
551	0.306688977
552	0.3063058105
553	0.3059637613
554	0.3056740966
555	0.3051971575
556	0.3048928562
557	0.3046725005
558	0.3042897264
559	0.3038778318
560	0.3035450776
561	0.3031667713
562	0.3028071205
563	0.3023643365
564	0.30200453
565	0.3016353601
566	0.3014892323
567	0.3012753513
568	0.3009364108
569	0.3004065375
570	0.3001558549
571	0.299822351
572	0.299507154
573	0.2991802226
574	0.298842605
575	0.2985088501
576	0.2982357585
577	0.2981285989
578	0.2977464355
579	0.2973350684
580	0.2970118831
581	0.2968514777
582	0.2966671553
583	0.2963789768
584	0.2961447606
585	0.2958284246
586	0.2955720401
587	0.2952725745
588	0.294933024
589	0.2946096602
590	0.2942137688
591	0.2937620001
592	0.2934698393
593	0.2931400594
594	0.2927233809
595	0.2923457642
596	0.2920194235
597	0.2916661663
598	0.2911841306
599	0.2908594214
600	0.2904146095
601	0.2900496787
602	0.2897942828
603	0.2893470059
604	0.2890296012
605	0.2886766152
606	0.2884338356
607	0.2881890539
608	0.2878357748
609	0.2876774834
610	0.2874341637
611	0.2870740129
612	0.2866177668
613	0.2862506797
614	0.2859626343
615	0.2855862518
616	0.2853979011
617	0.2850314942
618	0.2846569926
